time[ms],[Ca2+]_i[mM]
4.406804177720538007e+01,1.380533874034881592e-01
4.440179727036944257e+01,1.379057168960571289e-01
4.473554894883623945e+01,1.377580463886260986e-01
4.506930062730303632e+01,1.376103758811950684e-01
4.540305230576983320e+01,1.374626904726028442e-01
4.573680398423663007e+01,1.373150199651718140e-01
4.607055566270342695e+01,1.371673494577407837e-01
4.640430734117022382e+01,1.370196789503097534e-01
4.673805901963702070e+01,1.368719935417175293e-01
4.707181069810381757e+01,1.367243230342864990e-01
4.740556619126788007e+01,1.365766525268554688e-01
4.773931786973467695e+01,1.364289820194244385e-01
4.807306954820147382e+01,1.362812966108322144e-01
4.840682122666827070e+01,1.361336261034011841e-01
4.874057290513506757e+01,1.359859555959701538e-01
4.907434747178545820e+01,1.358412653207778931e-01
4.940857980210772382e+01,1.357544958591461182e-01
4.974281213242998945e+01,1.356677412986755371e-01
5.007709023911944257e+01,1.356272399425506592e-01
5.041146752793780195e+01,1.356838494539260864e-01
5.074584481675616132e+01,1.357404589653015137e-01
5.107867333848467695e+01,1.359549760818481445e-01
5.141130731065264570e+01,1.361895501613616943e-01
5.174030587632647382e+01,1.365799158811569214e-01
5.206785485703936445e+01,1.370323896408081055e-01
5.238730905015459882e+01,1.376847624778747559e-01
5.270394799668780195e+01,1.384028792381286621e-01
5.300278375108233320e+01,1.394062042236328125e-01
5.328984734971514570e+01,1.405388861894607544e-01
5.356092355210772382e+01,1.418473124504089355e-01
5.379801080186358320e+01,1.434195339679718018e-01
5.401237771470538007e+01,1.451240628957748413e-01
5.420379540879717695e+01,1.469554305076599121e-01
5.435223290879717695e+01,1.489568948745727539e-01
5.448097512681475507e+01,1.510132551193237305e-01
5.458972833116045820e+01,1.531253457069396973e-01
5.466807076890459882e+01,1.552955210208892822e-01
5.473774239976397382e+01,1.574787348508834839e-01
5.478544137437334882e+01,1.596893519163131714e-01
5.482546136338702070e+01,1.619056761264801025e-01
5.485195062119952070e+01,1.641321033239364624e-01
5.487216851670733320e+01,1.663608402013778687e-01
5.488259789903155195e+01,1.685931980609893799e-01
5.488991830308428632e+01,1.708258390426635742e-01
5.489583108384600507e+01,2.378260493278503418e-01
5.490346810777178632e+01,2.400588989257812500e-01
5.491110894639483320e+01,2.422917634248733521e-01
5.491874597032061445e+01,2.445246130228042603e-01
5.492638299424639570e+01,2.467574626207351685e-01
5.493402383286944257e+01,2.489903271198272705e-01
5.494166085679522382e+01,2.512231767177581787e-01
5.494930169541827070e+01,2.534560263156890869e-01
5.495693871934405195e+01,2.556888759136199951e-01
5.496457955796709882e+01,2.579217553138732910e-01
5.497221658189288007e+01,2.601546049118041992e-01
5.497985742051592695e+01,2.623874545097351074e-01
5.498749444444170820e+01,2.646203041076660156e-01
5.499513146836748945e+01,2.668531537055969238e-01
5.500277230699053632e+01,2.690860033035278320e-01
5.501040933091631757e+01,2.713188827037811279e-01
5.501805016953936445e+01,2.735517323017120361e-01
5.502568719346514570e+01,2.757845818996429443e-01
5.503332803208819257e+01,2.780174314975738525e-01
5.504096505601397382e+01,2.802502810955047607e-01
5.505558679063311445e+01,2.824815511703491211e-01
5.507104394395342695e+01,2.847125828266143799e-01
5.508650109727373945e+01,2.869436442852020264e-01
5.510195443589678632e+01,2.891747057437896729e-01
5.511741158921709882e+01,2.914057374000549316e-01
5.513286874253741132e+01,2.936367988586425781e-01
5.514832589585772382e+01,2.958678603172302246e-01
5.516378304917803632e+01,2.980988919734954834e-01
5.517923638780108320e+01,3.003299534320831299e-01
5.519469354112139570e+01,3.025610148906707764e-01
5.521015069444170820e+01,3.047920465469360352e-01
5.522560784776202070e+01,3.070231080055236816e-01
5.524106500108233320e+01,3.092541694641113281e-01
5.525651833970538007e+01,3.114852011203765869e-01
5.527197549302569257e+01,3.137162625789642334e-01
5.528743264634600507e+01,3.159473240375518799e-01
5.530288979966631757e+01,3.181783556938171387e-01
5.531834313828936445e+01,3.204094171524047852e-01
5.533380029160967695e+01,3.226404786109924316e-01
5.534925744492998945e+01,3.248715102672576904e-01
5.536471459825030195e+01,3.271025717258453369e-01
5.538017175157061445e+01,3.293336331844329834e-01
5.539562509019366132e+01,3.315646648406982422e-01
5.541403100450030195e+01,3.337946236133575439e-01
5.543651101548663007e+01,3.360230028629302979e-01
5.545899102647295820e+01,3.382513821125030518e-01
5.548147103745928632e+01,3.404797613620758057e-01
5.550395486314288007e+01,3.427081704139709473e-01
5.552643487412920820e+01,3.449365496635437012e-01
5.554891488511553632e+01,3.471649289131164551e-01
5.557139489610186445e+01,3.493933081626892090e-01
5.559387490708819257e+01,3.516217172145843506e-01
5.561635491807452070e+01,3.538500964641571045e-01
5.563883492906084882e+01,3.560784757137298584e-01
5.566131494004717695e+01,3.583068847656250000e-01
5.568379495103350507e+01,3.605352640151977539e-01
5.570627496201983320e+01,3.627636432647705078e-01
5.572875878770342695e+01,3.649920225143432617e-01
5.575123879868975507e+01,3.672204315662384033e-01
5.577371880967608320e+01,3.694488108158111572e-01
5.579619882066241132e+01,3.716771900653839111e-01
5.581867883164873945e+01,3.739055991172790527e-01
5.584115884263506757e+01,3.761339783668518066e-01
5.586363885362139570e+01,3.783623576164245605e-01
5.588611886460772382e+01,3.805907368659973145e-01
5.590859887559405195e+01,3.828191459178924561e-01
