time[ms],voltage[mV]
5.084534412217053045e+00,-6.839535522460937500e+01
5.426461329650791754e+00,-6.839535522460937500e+01
5.768388247084530462e+00,-6.839535522460937500e+01
6.110315179419430365e+00,-6.839535522460937500e+01
6.452242111754330267e+00,-6.839535522460937500e+01
6.794169044089230169e+00,-6.839535522460937500e+01
7.136095976424130072e+00,-6.839535522460937500e+01
7.478022789549740423e+00,-6.839535522460937500e+01
7.819949841093929876e+00,-6.839535522460937500e+01
8.161876654219540228e+00,-6.839535522460937500e+01
8.503803705763729681e+00,-6.839535522460937500e+01
8.845730518889340033e+00,-6.839535522460937500e+01
9.187657570433529486e+00,-6.839535522460937500e+01
9.529584383559139837e+00,-6.839535522460937500e+01
9.871511435103329291e+00,-6.839535522460937500e+01
1.021343800981036054e+01,-6.839535522460937500e+01
1.055536506135454999e+01,-6.839535522460937500e+01
1.089729211289873945e+01,-6.839535522460937500e+01
1.123921916444292890e+01,-6.839535522460937500e+01
1.158114573914996015e+01,-6.839535522460937500e+01
1.192307279069414960e+01,-6.839535522460937500e+01
1.226499984223833906e+01,-6.839535522460937500e+01
1.260692689378252851e+01,-6.839535522460937500e+01
1.294885346848955976e+01,-6.839535522460937500e+01
1.329078099687090742e+01,-6.839535522460937500e+01
1.363270757157793867e+01,-6.839535522460937500e+01
1.397463414628496992e+01,-6.839535522460937500e+01
1.431656167466631757e+01,-6.839535522460937500e+01
1.465848824937334882e+01,-6.839535522460937500e+01
1.500041482408038007e+01,-6.839535522460937500e+01
1.534234235246172773e+01,-6.839535522460937500e+01
1.568426892716875898e+01,-6.839535522460937500e+01
1.602619550187579023e+01,-6.839535522460937500e+01
1.636812303025713788e+01,-6.839535522460937500e+01
1.671004960496416913e+01,-6.839535522460937500e+01
1.705197713334551679e+01,-6.839535522460937500e+01
1.739390370805254804e+01,-6.839535522460937500e+01
1.773583028275957929e+01,-6.839535522460937500e+01
1.807775781114092695e+01,-6.839535522460937500e+01
1.841968438584795820e+01,-6.839535522460937500e+01
1.876161096055498945e+01,-6.839535522460937500e+01
1.910353848893633710e+01,-6.839535522460937500e+01
1.944546506364336835e+01,-6.839535522460937500e+01
1.978739163835039960e+01,-6.839535522460937500e+01
2.012931916673174726e+01,-6.839535522460937500e+01
2.047124574143877851e+01,-6.839535522460937500e+01
2.081317326982012617e+01,-6.839535522460937500e+01
2.115509984452715742e+01,-6.839535522460937500e+01
2.149702737290850507e+01,-6.839535522460937500e+01
2.183895394761553632e+01,-6.839535522460937500e+01
2.218088052232256757e+01,-6.839535522460937500e+01
2.252280709702959882e+01,-6.839535522460937500e+01
2.286473367173663007e+01,-6.839535522460937500e+01
2.320666215379229413e+01,-6.839535522460937500e+01
2.354858872849932538e+01,-6.839535522460937500e+01
2.389051530320635663e+01,-6.839535522460937500e+01
2.423244187791338788e+01,-6.839535522460937500e+01
2.457436845262041913e+01,-6.839535522460937500e+01
2.491629502732745038e+01,-6.839535522460937500e+01
2.525822350938311445e+01,-6.839535522460937500e+01
2.560015008409014570e+01,-6.839535522460937500e+01
2.594207665879717695e+01,-6.839535522460937500e+01
2.628400323350420820e+01,-6.839535522460937500e+01
2.662592980821123945e+01,-6.839535522460937500e+01
2.696785829026690351e+01,-6.839535522460937500e+01
2.730978486497393476e+01,-6.839535522460937500e+01
2.765171143968096601e+01,-6.839535522460937500e+01
2.799363801438799726e+01,-6.839535522460937500e+01
2.833556458909502851e+01,-6.839535522460937500e+01
2.867749116380205976e+01,-6.839535522460937500e+01
2.901941964585772382e+01,-6.839535522460937500e+01
2.936134622056475507e+01,-6.839535522460937500e+01
2.970327279527178632e+01,-6.839535522460937500e+01
3.004519936997881757e+01,-6.839535522460937500e+01
3.038712594468584882e+01,-6.839535522460937500e+01
3.072905442674151288e+01,-6.839535522460937500e+01
3.107098100144854413e+01,-6.839535522460937500e+01
3.141290757615557538e+01,-6.839535522460937500e+01
3.175483415086260663e+01,-6.839535522460937500e+01
3.209676072556963788e+01,-6.839535522460937500e+01
3.243868730027666913e+01,-6.839535522460937500e+01
3.278061578233233320e+01,-6.839535522460937500e+01
3.312254235703936445e+01,-6.839535522460937500e+01
3.346446893174639570e+01,-6.839535522460937500e+01
3.380639550645342695e+01,-6.839535522460937500e+01
3.414832208116045820e+01,-6.839535522460937500e+01
3.449025056321612226e+01,-6.839535522460937500e+01
3.483217713792315351e+01,-6.839535522460937500e+01
3.517410371263018476e+01,-6.839535522460937500e+01
3.551603028733721601e+01,-6.839535522460937500e+01
3.585795686204424726e+01,-6.839535522460937500e+01
3.619988343675127851e+01,-6.839535522460937500e+01
3.654181191880694257e+01,-6.839535522460937500e+01
3.688373849351397382e+01,-6.839535522460937500e+01
3.722566506822100507e+01,-6.839535522460937500e+01
3.756759164292803632e+01,-6.839535522460937500e+01
3.790951821763506757e+01,-6.839535522460937500e+01
3.825144479234209882e+01,-6.839535522460937500e+01
3.859337136704913007e+01,-6.839535522460937500e+01
3.893529794175616132e+01,-6.839535522460937500e+01
3.927722833116045820e+01,-6.839535522460937500e+01
3.961915490586748945e+01,-6.839535522460937500e+01
3.996108148057452070e+01,-6.839535522460937500e+01
4.030300805528155195e+01,-6.839535522460937500e+01
4.064493462998858320e+01,-6.839535522460937500e+01
4.098686120469561445e+01,-6.839535522460937500e+01
4.132878777940264570e+01,-6.839535522460937500e+01
4.167071435410967695e+01,-6.839535522460937500e+01
4.201264092881670820e+01,-6.839535522460937500e+01
4.235456750352373945e+01,-6.839535522460937500e+01
4.269649407823077070e+01,-6.839535522460937500e+01
4.303842446763506757e+01,-6.839535522460937500e+01
4.338035104234209882e+01,-6.839535522460937500e+01
4.372227761704913007e+01,-6.839535522460937500e+01
4.406420419175616132e+01,-6.839535522460937500e+01
4.440613076646319257e+01,-6.839535522460937500e+01
4.474805734117022382e+01,-6.839535522460937500e+01
4.508998391587725507e+01,-6.839535522460937500e+01
4.543191049058428632e+01,-6.839535522460937500e+01
4.577383706529131757e+01,-6.839535522460937500e+01
4.611576363999834882e+01,-6.839535522460937500e+01
4.645769021470538007e+01,-6.839535522460937500e+01
4.679962060410967695e+01,-6.839535522460937500e+01
4.714154717881670820e+01,-6.839535522460937500e+01
4.748347375352373945e+01,-6.839535522460937500e+01
4.782540032823077070e+01,-6.839535522460937500e+01
4.816732690293780195e+01,-6.839535522460937500e+01
4.850925347764483320e+01,-6.839535522460937500e+01
4.885118005235186445e+01,-6.839535522460937500e+01
4.919310662705889570e+01,-6.839535522460937500e+01
4.953503320176592695e+01,-6.839535522460937500e+01
4.987695977647295820e+01,-6.839535522460937500e+01
5.003454492051592695e+01,-6.821936035156250000e+01
5.004242227036944257e+01,-6.790010070800781250e+01
5.005051324326983320e+01,-6.758084106445312500e+01
5.005884454209795820e+01,-6.726158905029296875e+01
5.006716439683428632e+01,-6.694233703613281250e+01
5.007525536973467695e+01,-6.662307739257812500e+01
5.008334634263506757e+01,-6.630381774902343750e+01
5.009143731553545820e+01,-6.598455810546875000e+01
5.009965035874834882e+01,-6.566530609130859375e+01
5.010788247544756757e+01,-6.534605407714843750e+01
5.011611459214678632e+01,-6.502679443359375000e+01
5.012434670884600507e+01,-6.470754241943359375e+01
5.013271233994952070e+01,-6.438829040527343750e+01
5.014107797105303632e+01,-6.406903839111328125e+01
5.014944360215655195e+01,-6.374978637695312500e+01
5.015781304795733320e+01,-6.343053436279296875e+01
5.016628167588702070e+01,-6.311128616333007812e+01
5.017483041245928632e+01,-6.279203796386718750e+01
5.018337914903155195e+01,-6.247279357910156250e+01
5.019192407090655195e+01,-6.215354537963867188e+01
5.020047280747881757e+01,-6.183429718017578125e+01
5.020918939073077070e+01,-6.151505279541015625e+01
5.021796319444170820e+01,-6.119581222534179688e+01
5.022674081284991132e+01,-6.087656784057617188e+01
5.023551461656084882e+01,-6.055732727050781250e+01
5.024428842027178632e+01,-6.023808670043945312e+01
5.025320718247881757e+01,-5.991884613037109375e+01
5.026222512681475507e+01,-5.959960937500000000e+01
5.027124307115069257e+01,-5.928037643432617188e+01
5.028026101548663007e+01,-5.896113967895507812e+01
5.028927895982256757e+01,-5.864190292358398438e+01
5.029836556870928632e+01,-5.832266616821289062e+01
5.030765435655108320e+01,-5.800343704223632812e+01
5.031694314439288007e+01,-5.768420791625976562e+01
5.032623193223467695e+01,-5.736497879028320312e+01
5.033552072007647382e+01,-5.704574966430664062e+01
5.034480950791827070e+01,-5.672652053833007812e+01
5.035439202744952070e+01,-5.640729904174804688e+01
5.036403558213702070e+01,-5.608807754516601562e+01
5.037367913682452070e+01,-5.576885986328125000e+01
5.038332269151202070e+01,-5.544963836669921875e+01
5.039296624619952070e+01,-5.513042068481445312e+01
5.040281197984209882e+01,-5.481120300292968750e+01
5.041291711289873945e+01,-5.449199676513671875e+01
5.042302224595538007e+01,-5.417278671264648438e+01
5.043312737901202070e+01,-5.385358047485351562e+01
5.044323251206866132e+01,-5.353437423706054688e+01
5.045344445664873945e+01,-5.321516799926757812e+01
5.046411797959795820e+01,-5.289597702026367188e+01
5.047479150254717695e+01,-5.257678604125976562e+01
5.048546884019366132e+01,-5.225759506225585938e+01
5.049614236314288007e+01,-5.193840408325195312e+01
5.050697228867998945e+01,-5.161921691894531250e+01
5.051843163926592695e+01,-5.130004882812500000e+01
5.052988717515459882e+01,-5.098088073730468750e+01
5.054134652574053632e+01,-5.066171264648437500e+01
5.055280587632647382e+01,-5.034254455566406250e+01
5.056489083726397382e+01,-5.002339553833007812e+01
5.057741830308428632e+01,-4.970426559448242188e+01
5.058994576890459882e+01,-4.938513183593750000e+01
5.060247704942217695e+01,-4.906599807739257812e+01
5.061577126939288007e+01,-4.874689483642578125e+01
5.062993905503741132e+01,-4.842782211303710938e+01
5.064410684068194257e+01,-4.810874938964843750e+01
5.065827844102373945e+01,-4.778967285156250000e+01
5.068117806870928632e+01,-4.747105026245117188e+01
5.070451257188311445e+01,-4.715244674682617188e+01
5.072785088975420820e+01,-4.683384323120117188e+01
5.076307961900225507e+01,-4.651627731323242188e+01
5.080320641953936445e+01,-4.619913864135742188e+01
5.084333322007647382e+01,-4.588199615478515625e+01
5.089670464951983320e+01,-4.556664276123046875e+01
5.095421121079913007e+01,-4.525184249877929688e+01
5.101303765733233320e+01,-4.493728637695312500e+01
5.108792779405108320e+01,-4.462569427490234375e+01
5.116281411607256757e+01,-4.431410217285156250e+01
5.124790856797686445e+01,-4.400489807128906250e+01
5.133942697007647382e+01,-4.369720458984375000e+01
5.143601891953936445e+01,-4.339094161987304688e+01
5.154246804673663007e+01,-4.308746337890625000e+01
5.165165994126788007e+01,-4.278488159179687500e+01
5.177043435533038007e+01,-4.248542022705078125e+01
5.189124963242998945e+01,-4.218669509887695312e+01
5.201880166490069257e+01,-4.189039993286132812e+01
5.214785668809405195e+01,-4.159468078613281250e+01
5.227980325181475507e+01,-4.130006790161132812e+01
5.241141793687334882e+01,-4.100532531738281250e+01
5.254274270493975507e+01,-4.071047210693359375e+01
5.266940972764483320e+01,-4.041385650634765625e+01
5.279429147202959882e+01,-4.011657714843750000e+01
5.290777871568194257e+01,-3.981533432006835938e+01
5.301623437364092695e+01,-3.951257324218750000e+01
5.311283776719561445e+01,-3.920623397827148438e+01
5.319789025742998945e+01,-3.889709472656250000e+01
5.327309701402178632e+01,-3.858556747436523438e+01
5.333058831651202070e+01,-3.827094268798828125e+01
5.338129708726397382e+01,-3.795512390136718750e+01
5.341115853745928632e+01,-3.763713836669921875e+01
5.343616006333819257e+01,-3.731864547729492188e+01
5.345146462876788007e+01,-3.699966049194335938e+01
5.346374413926592695e+01,-3.668051910400390625e+01
5.347602364976397382e+01,-3.636137771606445312e+01
5.348830316026202070e+01,-3.604223632812500000e+01
5.350058267076006757e+01,-3.572309494018554688e+01
5.351286218125811445e+01,-3.540395355224609375e+01
5.352514169175616132e+01,-3.508481216430664062e+01
5.353742120225420820e+01,-3.476567077636718750e+01
5.354970071275225507e+01,-3.444652938842773438e+01
5.356198022325030195e+01,-3.412738800048828125e+01
5.357425973374834882e+01,-3.380824661254882812e+01
5.358653924424639570e+01,-3.348910522460937500e+01
5.359881875474444257e+01,-3.316996383666992188e+01
5.361109826524248945e+01,-3.285082244873046875e+01
5.362337396104327070e+01,-3.253168106079101562e+01
5.363565347154131757e+01,-3.221253967285156250e+01
5.364793298203936445e+01,-3.189340019226074219e+01
5.366021249253741132e+01,-3.157425880432128906e+01
5.367249200303545820e+01,-3.125511741638183594e+01
5.368477151353350507e+01,-3.093597602844238281e+01
5.369705102403155195e+01,-3.061683464050292969e+01
5.370933053452959882e+01,-3.029769325256347656e+01
5.372161004502764570e+01,-2.997855186462402344e+01
5.373388955552569257e+01,-2.965941047668457031e+01
5.374616906602373945e+01,-2.934026908874511719e+01
5.375844857652178632e+01,-2.902112770080566406e+01
5.377072808701983320e+01,-2.870198822021484375e+01
5.378300759751788007e+01,-2.838284683227539062e+01
5.379528710801592695e+01,-2.806370544433593750e+01
5.380756661851397382e+01,-2.774456405639648438e+01
5.381984612901202070e+01,-2.742542266845703125e+01
5.383212563951006757e+01,-2.710628128051757812e+01
5.384440515000811445e+01,-2.678713989257812500e+01
5.385668466050616132e+01,-2.646799850463867188e+01
5.386896417100420820e+01,-2.614885711669921875e+01
5.388124368150225507e+01,-2.582971572875976562e+01
5.389352319200030195e+01,-2.551057434082031250e+01
5.390580270249834882e+01,-2.519143295288085938e+01
5.391808221299639570e+01,-2.487229347229003906e+01
5.393036172349444257e+01,-2.455315208435058594e+01
5.394263741929522382e+01,-2.423401069641113281e+01
5.395505807359209882e+01,-2.391487312316894531e+01
5.396752831895342695e+01,-2.359573936462402344e+01
5.397999856431475507e+01,-2.327660369873046875e+01
5.399246880967608320e+01,-2.295746994018554688e+01
5.400494286973467695e+01,-2.263833427429199219e+01
5.401741311509600507e+01,-2.231920051574707031e+01
5.402988336045733320e+01,-2.200006484985351562e+01
5.404235360581866132e+01,-2.168093109130859375e+01
5.405482385117998945e+01,-2.136179542541503906e+01
5.406729791123858320e+01,-2.104266166687011719e+01
5.407976815659991132e+01,-2.072352600097656250e+01
5.409223840196123945e+01,-2.040439224243164062e+01
5.410470864732256757e+01,-2.008525657653808594e+01
5.411717889268389570e+01,-1.976612281799316406e+01
5.412964913804522382e+01,-1.944698715209960938e+01
5.414212319810381757e+01,-1.912785339355468750e+01
5.415459344346514570e+01,-1.880871772766113281e+01
5.416706368882647382e+01,-1.848958396911621094e+01
5.417953393418780195e+01,-1.817044830322265625e+01
5.419200417954913007e+01,-1.785131454467773438e+01
5.420447442491045820e+01,-1.753217887878417969e+01
5.421694848496905195e+01,-1.721304321289062500e+01
5.422941873033038007e+01,-1.689390945434570312e+01
5.424188897569170820e+01,-1.657477378845214844e+01
5.425435922105303632e+01,-1.625564002990722656e+01
5.426682946641436445e+01,-1.593650531768798828e+01
5.427930352647295820e+01,-1.561737060546875000e+01
5.429177377183428632e+01,-1.529823589324951172e+01
5.430424401719561445e+01,-1.497910118103027344e+01
5.431671426255694257e+01,-1.465996646881103516e+01
5.432918450791827070e+01,-1.434083175659179688e+01
5.434165475327959882e+01,-1.402169704437255859e+01
5.435412881333819257e+01,-1.370256233215332031e+01
5.436659905869952070e+01,-1.338342761993408203e+01
5.437906930406084882e+01,-1.306429290771484375e+01
5.439175698716631757e+01,-1.274516582489013672e+01
5.440480325181475507e+01,-1.242605113983154297e+01
5.441784951646319257e+01,-1.210693645477294922e+01
5.443089578111163007e+01,-1.178782176971435547e+01
5.444394586045733320e+01,-1.146870708465576172e+01
5.445699212510577070e+01,-1.114959239959716797e+01
