time[ms],[Ca2+]_i[μM]
3.838026453921668946e+01,5.130340531468391418e-02
3.869607569644325196e+01,5.130340531468391418e-02
3.901188685366981446e+01,5.130340531468391418e-02
3.932769801089637696e+01,5.130340531468391418e-02
3.964350916812293946e+01,5.130340531468391418e-02
3.995932032534950196e+01,5.130340531468391418e-02
4.027513148257606446e+01,5.130340531468391418e-02
4.059094263980262696e+01,5.130340531468391418e-02
4.090675379702918946e+01,5.130340531468391418e-02
4.122256495425575196e+01,5.130340531468391418e-02
4.153837611148231446e+01,5.130340531468391418e-02
4.185418726870887696e+01,5.130340531468391418e-02
4.217000224063270508e+01,5.130340531468391418e-02
4.248581339785926758e+01,5.130340531468391418e-02
4.280162455508583008e+01,5.130340531468391418e-02
4.311743571231239258e+01,5.130340531468391418e-02
4.343324686953895508e+01,5.130340531468391418e-02
4.374905802676551758e+01,5.130340531468391418e-02
4.406486918399208008e+01,5.130340531468391418e-02
4.438068034121864258e+01,5.130340531468391418e-02
4.469649149844520508e+01,5.130340531468391418e-02
4.501230265567176758e+01,5.130340531468391418e-02
4.532811381289833008e+01,5.130340531468391418e-02
4.564392497012489258e+01,5.130340531468391418e-02
4.595973612735145508e+01,5.130340531468391418e-02
4.627554728457801758e+01,5.130340531468391418e-02
4.659135844180458008e+01,5.130340531468391418e-02
4.690716959903114258e+01,5.130340531468391418e-02
4.722298075625770508e+01,5.130340531468391418e-02
4.753879572818153321e+01,5.130340531468391418e-02
4.785460688540809571e+01,5.130340531468391418e-02
4.817041804263465821e+01,5.130340531468391418e-02
4.848622919986122071e+01,5.130340531468391418e-02
4.880204035708778321e+01,5.130340531468391418e-02
4.911785151431434571e+01,5.130340531468391418e-02
4.943366267154090821e+01,5.130340531468391418e-02
4.974947382876747071e+01,5.130340531468391418e-02
5.006528498599403321e+01,5.130340531468391418e-02
5.038109614322059571e+01,5.130340531468391418e-02
5.069690730044715821e+01,5.130340531468391418e-02
5.100854517886512696e+01,5.153931304812431335e-02
5.127268244693153321e+01,5.266944319009780884e-02
5.147448756167762696e+01,5.428340286016464233e-02
5.163649012515418946e+01,5.609083548188209534e-02
5.177083231875770508e+01,5.799821764230728149e-02
5.188258768985145508e+01,5.997011065483093262e-02
5.197784068057411133e+01,6.198032200336456299e-02
5.205942561099403321e+01,6.401715427637100220e-02
5.212858607241981446e+01,6.607440114021301270e-02
5.218566920230262696e+01,6.814812868833541870e-02
5.222990824649208008e+01,7.023584097623825073e-02
5.225503184268348633e+01,7.233740389347076416e-02
5.226416422793739258e+01,7.444512844085693359e-02
5.227089716861122071e+01,7.655340433120727539e-02
5.227763010928504883e+01,7.866168022155761719e-02
5.228436304995887696e+01,8.076995611190795898e-02
5.229109217593543946e+01,8.287823200225830078e-02
5.229782511660926758e+01,8.498650789260864258e-02
5.230455805728309571e+01,8.709478378295898438e-02
5.231129099795692383e+01,8.920305967330932617e-02
5.231802012393348633e+01,9.131133556365966797e-02
5.232475306460731446e+01,9.341961145401000977e-02
5.233148600528114258e+01,9.552788734436035156e-02
5.233821894595497071e+01,9.763616323471069336e-02
5.234494807193153321e+01,9.974443912506103516e-02
5.235168101260536133e+01,1.018527150154113770e-01
5.235841395327918946e+01,1.039609909057617188e-01
5.236514689395301758e+01,1.060692667961120605e-01
5.237187601992958008e+01,1.081775426864624023e-01
5.237860896060340821e+01,1.102858185768127441e-01
5.238534190127723633e+01,1.123940944671630859e-01
5.239207484195106446e+01,1.145023703575134277e-01
5.239880396792762696e+01,1.166106536984443665e-01
5.240553690860145508e+01,1.187189295887947083e-01
5.241226984927528321e+01,1.208272054791450500e-01
5.241926981875770508e+01,1.229354366660118103e-01
5.242754771182411133e+01,1.250434666872024536e-01
5.243582941958778321e+01,1.271515041589736938e-01
5.244410731265418946e+01,1.292595267295837402e-01
5.245238520572059571e+01,1.313675642013549805e-01
5.246066309878700196e+01,1.334755867719650269e-01
5.246894480655067383e+01,1.355836242437362671e-01
5.247722269961708008e+01,1.376916468143463135e-01
5.248550059268348633e+01,1.397996842861175537e-01
5.249377848574989258e+01,1.419077068567276001e-01
5.250205637881629883e+01,1.440157443284988403e-01
5.251033808657997071e+01,1.461237668991088867e-01
5.251861597964637696e+01,1.482318043708801270e-01
5.252689387271278321e+01,1.503398269414901733e-01
5.253517176577918946e+01,1.524478644132614136e-01
5.254344965884559571e+01,1.545559018850326538e-01
5.255173136660926758e+01,1.566639244556427002e-01
5.256000925967567383e+01,1.587719619274139404e-01
5.256828715274208008e+01,1.608799844980239868e-01
5.257656504580848633e+01,1.629880219697952271e-01
5.258484293887489258e+01,1.650960445404052734e-01
5.259312464663856446e+01,1.672040820121765137e-01
5.260140253970497071e+01,1.693121045827865601e-01
5.260968043277137696e+01,1.714201420545578003e-01
5.261957194278114258e+01,1.735278666019439697e-01
5.262949397036903321e+01,1.756355762481689453e-01
5.263941218325965821e+01,1.777432858943939209e-01
5.264933039615028321e+01,1.798510104417800903e-01
5.265924860904090821e+01,1.819587200880050659e-01
5.266916682193153321e+01,1.840664297342300415e-01
5.267908884951942383e+01,1.861741542816162109e-01
5.268900706241004883e+01,1.882818639278411865e-01
5.269892527530067383e+01,1.903895735740661621e-01
5.270884348819129883e+01,1.924972981214523315e-01
5.271876170108192383e+01,1.946050077676773071e-01
5.272868372866981446e+01,1.967127323150634766e-01
5.273860194156043946e+01,1.988204419612884521e-01
5.274852015445106446e+01,2.009281516075134277e-01
5.275843836734168946e+01,2.030358761548995972e-01
5.276835658023231446e+01,2.051435858011245728e-01
5.277827860782020508e+01,2.072512954473495483e-01
5.278819682071083008e+01,2.093590199947357178e-01
5.279811503360145508e+01,2.114667296409606934e-01
5.280803324649208008e+01,2.135744392871856689e-01
5.281795145938270508e+01,2.156821638345718384e-01
