time[ms],voltage[mV]
2.501680567021388413e+00,-7.021408843994140625e+01
2.844408954120147826e+00,-7.021408843994140625e+01
3.187137360311020018e+00,-7.021408843994140625e+01
3.529865736699569823e+00,-7.021408843994140625e+01
3.872594113088119627e+00,-7.021408843994140625e+01
4.215322489476669432e+00,-7.021408843994140625e+01
4.558050865865219237e+00,-7.021408843994140625e+01
4.900779242253769041e+00,-7.021408843994140625e+01
5.243507618642318846e+00,-7.021408843994140625e+01
5.586235995030868651e+00,-7.021408843994140625e+01
5.928964371419418455e+00,-7.021408843994140625e+01
6.271692747807968260e+00,-7.021408843994140625e+01
6.614421124196518065e+00,-7.021408843994140625e+01
6.957149739003646971e+00,-7.021408843994140625e+01
7.299877876973617674e+00,-7.021408843994140625e+01
7.642606491780746580e+00,-7.021408843994140625e+01
7.985334629750717284e+00,-7.021408843994140625e+01
8.328063244557846190e+00,-7.021408843994140625e+01
8.670791382527816893e+00,-7.021408843994140625e+01
9.013519997334945799e+00,-7.021408843994140625e+01
9.356248135304916502e+00,-7.021408843994140625e+01
9.698976750112045409e+00,-7.021408843994140625e+01
1.004170488808201611e+01,-7.021408843994140625e+01
1.038443350288914502e+01,-7.021408843994140625e+01
1.072716211769627392e+01,-7.021408843994140625e+01
1.106989073250340283e+01,-7.021408843994140625e+01
1.141261839363621533e+01,-7.021408843994140625e+01
1.175534700844334424e+01,-7.021408843994140625e+01
1.209807562325047314e+01,-7.021408843994140625e+01
1.244080423805760205e+01,-7.021408843994140625e+01
1.278353189919041455e+01,-7.021408843994140625e+01
1.312626051399754346e+01,-7.021408843994140625e+01
1.346898912880467236e+01,-7.021408843994140625e+01
1.381171774361180127e+01,-7.021408843994140625e+01
1.415444540474461377e+01,-7.021408843994140625e+01
1.449717401955174267e+01,-7.021408843994140625e+01
1.483990263435887158e+01,-7.021408843994140625e+01
1.518263124916600049e+01,-7.021408843994140625e+01
1.552535891029881299e+01,-7.021408843994140625e+01
1.586808752510594189e+01,-7.021408843994140625e+01
1.621081613991307080e+01,-7.021408843994140625e+01
1.655354475472019971e+01,-7.021408843994140625e+01
1.689627241585301221e+01,-7.021408843994140625e+01
1.723900103066014111e+01,-7.021408843994140625e+01
1.758172964546727002e+01,-7.021408843994140625e+01
1.792445826027439892e+01,-7.021408843994140625e+01
1.826718687508152783e+01,-7.021408843994140625e+01
1.860991453621434033e+01,-7.021408843994140625e+01
1.895264410469578564e+01,-7.021408843994140625e+01
1.929537176582859814e+01,-7.021408843994140625e+01
1.963809942696141064e+01,-7.021408843994140625e+01
1.998082899544285596e+01,-7.021408843994140625e+01
2.032355665657566846e+01,-7.021408843994140625e+01
2.066628431770848096e+01,-7.021408843994140625e+01
2.100901388618992627e+01,-7.021408843994140625e+01
2.135174154732273877e+01,-7.021408843994140625e+01
2.169447111580418408e+01,-7.021408843994140625e+01
2.203719877693699658e+01,-7.021408843994140625e+01
2.237992643806980908e+01,-7.021408843994140625e+01
2.272265600655125439e+01,-7.021408843994140625e+01
2.306538366768406689e+01,-7.021408843994140625e+01
2.340811132881687939e+01,-7.021408843994140625e+01
2.375084089729832471e+01,-7.021408843994140625e+01
2.409356855843113721e+01,-7.021408843994140625e+01
2.443629812691258252e+01,-7.021408843994140625e+01
2.477902578804539502e+01,-7.021408843994140625e+01
2.512175344917820752e+01,-7.021408843994140625e+01
2.546448301765965283e+01,-7.021408843994140625e+01
2.580721067879246533e+01,-7.021408843994140625e+01
2.614994024727391064e+01,-7.021408843994140625e+01
2.649266790840672314e+01,-7.021408843994140625e+01
2.683539556953953564e+01,-7.021408843994140625e+01
2.717812513802098096e+01,-7.021408843994140625e+01
2.752085279915379346e+01,-7.021408843994140625e+01
2.786358046028660596e+01,-7.021408843994140625e+01
2.820631002876805127e+01,-7.021408843994140625e+01
2.854903768990086377e+01,-7.021408843994140625e+01
2.889176725838230908e+01,-7.021408843994140625e+01
2.923449491951512158e+01,-7.021408843994140625e+01
2.957722258064793408e+01,-7.021408843994140625e+01
2.991995214912937939e+01,-7.021408843994140625e+01
3.026267981026219189e+01,-7.021408843994140625e+01
3.060540747139500439e+01,-7.021408843994140625e+01
3.094813703987644971e+01,-7.021408843994140625e+01
3.129086470100926221e+01,-7.021408843994140625e+01
3.163359426949070752e+01,-7.021408843994140625e+01
3.197632193062352002e+01,-7.021408843994140625e+01
3.231904959175633252e+01,-7.021408843994140625e+01
