time[ms],[Ca2+]_i[μM]
1.937052248549361622e+01,1.769850105047225952e-01
1.963425348830123340e+01,1.770474761724472046e-01
1.989798544478316700e+01,1.771099418401718140e-01
2.016171644759078418e+01,1.771724075078964233e-01
2.042544840407271778e+01,1.772348731756210327e-01
2.068917940688033497e+01,1.772973388433456421e-01
2.095286654066939747e+01,1.773666143417358398e-01
2.121641348433394825e+01,1.774574369192123413e-01
2.147996042799849903e+01,1.775482594966888428e-01
2.174350641798873340e+01,1.776390820741653442e-01
2.200705336165328418e+01,1.777299046516418457e-01
2.227059935164351856e+01,1.778207272291183472e-01
2.253414629530806934e+01,1.779115498065948486e-01
2.279769323897262012e+01,1.780023723840713501e-01
2.306123922896285450e+01,1.780931949615478516e-01
2.332478521895308887e+01,1.781840175390243530e-01
2.358824728560347950e+01,1.782842725515365601e-01
2.385152243208785450e+01,1.784052401781082153e-01
2.411479757857222950e+01,1.785262078046798706e-01
2.437807081770797168e+01,1.786471754312515259e-01
2.464134596419234668e+01,1.787681430578231812e-01
2.490462111067672168e+01,1.788891106843948364e-01
2.516789625716109668e+01,1.790100783109664917e-01
2.543117140364547168e+01,1.791310459375381470e-01
2.569444655012984668e+01,1.792519986629486084e-01
2.595771978926558887e+01,1.793729662895202637e-01
2.622086332869429981e+01,1.795052587985992432e-01
2.648375509810347950e+01,1.796589642763137817e-01
2.674664496016402637e+01,1.798126548528671265e-01
2.700953672957320606e+01,1.799663454294204712e-01
2.727242849898238575e+01,1.801200509071350098e-01
2.753532026839156543e+01,1.802737414836883545e-01
2.779821203780074512e+01,1.804274469614028931e-01
2.806110380720992481e+01,1.805811375379562378e-01
2.832399557661910450e+01,1.807348430156707764e-01
2.858688734602828418e+01,1.808885335922241211e-01
2.884954069685836231e+01,1.810584068298339844e-01
2.911189650130172168e+01,1.812485903501510620e-01
2.937425230574508106e+01,1.814387589693069458e-01
2.963660811018844043e+01,1.816289275884628296e-01
2.989896391463179981e+01,1.818191111087799072e-01
3.016131971907515918e+01,1.820092797279357910e-01
3.042367552351851856e+01,1.821994632482528687e-01
3.068603132796187793e+01,1.823896318674087524e-01
3.094838903975387012e+01,1.825798153877258301e-01
3.121074484419722950e+01,1.827699840068817139e-01
3.147256659102340137e+01,1.829896718263626099e-01
3.173417280745406543e+01,1.832214146852493286e-01
3.199577711653609668e+01,1.834531575441360474e-01
3.225738333296676075e+01,1.836849153041839600e-01
3.251898764204879200e+01,1.839166581630706787e-01
3.278059195113082325e+01,1.841484010219573975e-01
3.304219816756148731e+01,1.843801587820053101e-01
3.330380247664351856e+01,1.846119016408920288e-01
3.356540869307418262e+01,1.848436594009399414e-01
3.382674788069625293e+01,1.850874125957489014e-01
3.408728788924117481e+01,1.853676587343215942e-01
3.434782599043746387e+01,1.856479197740554810e-01
3.460836409163375293e+01,1.859281659126281738e-01
3.486890219283004200e+01,1.862084120512008667e-01
3.512944029402633106e+01,1.864886730909347534e-01
3.538997839522262012e+01,1.867689192295074463e-01
3.565051649641890918e+01,1.870491653680801392e-01
3.591105650496383106e+01,1.873294264078140259e-01
3.617135046553512012e+01,1.876188218593597412e-01
3.643034361433883106e+01,1.879569441080093384e-01
3.668933676314254200e+01,1.882950663566589355e-01
3.694832991194625293e+01,1.886331886053085327e-01
3.720732306074996387e+01,1.889713108539581299e-01
3.746631811690230762e+01,1.893094182014465332e-01
3.772531126570601856e+01,1.896475404500961304e-01
3.798430441450972950e+01,1.899856626987457275e-01
3.824329756331344043e+01,1.903237849473953247e-01
3.850105093550582325e+01,1.907001137733459473e-01
3.875774191450972950e+01,1.911090761423110962e-01
3.901443480086226856e+01,1.915180385112762451e-01
3.927112577986617481e+01,1.919270008802413940e-01
3.952781675887008106e+01,1.923359632492065430e-01
3.978450773787398731e+01,1.927449405193328857e-01
4.004119871687789356e+01,1.931539028882980347e-01
4.029788969588179981e+01,1.935628652572631836e-01
4.055286024641890918e+01,1.940149664878845215e-01
4.080600355696578418e+01,1.945129334926605225e-01
4.105914305281539356e+01,1.950108855962753296e-01
4.131228254866500293e+01,1.955088526010513306e-01
4.156542585921187793e+01,1.960068047046661377e-01
4.181856535506148731e+01,1.965047717094421387e-01
4.207170485091109668e+01,1.970027387142181396e-01
4.232437895369429981e+01,1.975100785493850708e-01
4.257180021834273731e+01,1.981229484081268311e-01
4.281922529768844043e+01,1.987358033657073975e-01
4.306664656233687793e+01,1.993486732244491577e-01
4.331406782698531543e+01,1.999615430831909180e-01
4.356148909163375293e+01,2.005744129419326782e-01
4.380891035628219043e+01,2.011872678995132446e-01
4.405249785017867481e+01,2.018605172634124756e-01
4.429047010970015918e+01,2.026221305131912231e-01
4.452844618391890918e+01,2.033837586641311646e-01
4.476641844344039356e+01,2.041453719139099121e-01
4.500439451765914356e+01,2.049070000648498535e-01
4.524236677718062793e+01,2.056686133146286011e-01
4.548034285139937793e+01,2.064302414655685425e-01
4.571831511092086231e+01,2.071918547153472900e-01
4.594554899763961231e+01,2.080847471952438354e-01
4.617006300520797168e+01,2.090108096599578857e-01
4.639457701277633106e+01,2.099368721246719360e-01
4.661909483504195606e+01,2.108629196882247925e-01
4.684360884261031543e+01,2.117889821529388428e-01
4.706812666487594043e+01,2.127150446176528931e-01
4.729264067244429981e+01,2.136411070823669434e-01
4.750449751448531543e+01,2.146878838539123535e-01
4.771161268782515918e+01,2.157798707485198975e-01
4.791872786116500293e+01,2.168718725442886353e-01
4.812584303450484668e+01,2.179638594388961792e-01
4.833296202254195606e+01,2.190558463335037231e-01
4.854007719588179981e+01,2.201478332281112671e-01
4.874600981306929981e+01,2.212486863136291504e-01
4.893215178084273731e+01,2.224977463483810425e-01
4.911829756331344043e+01,2.237468063831329346e-01
4.930444334578414356e+01,2.249958664178848267e-01
4.949058912825484668e+01,2.262449115514755249e-01
4.967673491072554981e+01,2.274939715862274170e-01
4.986287687849898731e+01,2.287430316209793091e-01
5.003384779524703418e+01,2.300816029310226440e-01
5.019655989241500293e+01,2.314689159393310547e-01
5.035927198958297168e+01,2.328562289476394653e-01
5.052198408675094043e+01,2.342435270547866821e-01
5.068469618391890918e+01,2.356308400630950928e-01
5.084740828108687793e+01,2.370181381702423096e-01
