voltage[mV],normalized current
-3.967780685424804688e+01,9.927678704261779785e-01
-3.721045684814453125e+01,9.882857203483581543e-01
-3.488741302490234375e+01,9.821895956993103027e-01
-3.270285797119140625e+01,9.745420217514038086e-01
-3.065099334716796875e+01,9.654054641723632812e-01
-2.872600173950195312e+01,9.548425078392028809e-01
-2.692207717895507812e+01,9.429156184196472168e-01
-2.523340988159179688e+01,9.296873211860656738e-01
-2.365419006347656250e+01,9.152200818061828613e-01
-2.217860794067382812e+01,8.995764255523681641e-01
-2.080085754394531250e+01,8.828189373016357422e-01
-1.951512527465820312e+01,8.650100231170654297e-01
-1.831560516357421875e+01,8.462122082710266113e-01
-1.719648742675781250e+01,8.264880776405334473e-01
-1.615196228027343750e+01,8.059000372886657715e-01
-1.517621994018554688e+01,7.845107316970825195e-01
-1.426345062255859375e+01,7.623825073242187500e-01
-1.340784454345703125e+01,7.395780086517333984e-01
-1.260359573364257812e+01,7.161596417427062988e-01
-1.184489440917968750e+01,6.921899914741516113e-01
-1.112592697143554688e+01,6.677315235137939453e-01
-1.044089126586914062e+01,6.428468227386474609e-01
-9.783969879150390625e+00,6.175982952117919922e-01
-9.149360656738281250e+00,5.920484662055969238e-01
-8.531250000000000000e+00,5.662599205970764160e-01
-7.923828125000000000e+00,5.402950644493103027e-01
-7.321292877197265625e+00,5.142164826393127441e-01
-6.717826843261718750e+00,4.880867004394531250e-01
-6.107620239257812500e+00,4.619681537151336670e-01
-5.462860107421875000e+00,4.350147843360900879e-01
-4.381935119628906250e+00,3.906791508197784424e-01
-3.343822479248046875e+00,3.486944735050201416e-01
-2.344505310058593750e+00,3.090666830539703369e-01
-1.379962921142578125e+00,2.718017995357513428e-01
-4.461822509765625000e-01,2.369057387113571167e-01
4.608497619628906250e-01,2.043845057487487793e-01
1.345149993896484375e+00,1.742440611124038696e-01
2.210735321044921875e+00,1.464903801679611206e-01
3.061614990234375000e+00,1.211294084787368774e-01
3.901813507080078125e+00,9.816714376211166382e-02
4.735336303710937500e+00,7.760953158140182495e-02
5.566207885742187500e+00,5.946255847811698914e-02
6.398437500000000000e+00,4.373218491673469543e-02
7.236038208007812500e+00,3.042437881231307983e-02
8.083030700683593750e+00,1.954511180520057678e-02
8.943435668945312500e+00,1.110035367310047150e-02
9.821250915527343750e+00,5.096071399748325348e-03
1.072050476074218750e+01,1.538234530016779900e-03
1.164521789550781250e+01,4.328124341554939747e-04
1.259938812255859375e+01,1.785773900337517262e-03
1.358704376220703125e+01,5.603088065981864929e-03
1.461219787597656250e+01,1.189072337001562119e-02
1.567886352539062500e+01,2.065465040504932404e-02
1.679106140136718750e+01,3.190083429217338562e-02
1.795279693603515625e+01,4.563524946570396423e-02
1.916809082031250000e+01,6.186386197805404663e-02
2.044096374511718750e+01,8.059263974428176880e-02
2.177542114257812500e+01,1.018275544047355652e-01
2.317548370361328125e+01,1.255745738744735718e-01
2.464516448974609375e+01,1.518396586179733276e-01
2.618847656250000000e+01,1.806287914514541626e-01
2.780944061279296875e+01,2.119479477405548096e-01
2.951207733154296875e+01,2.458030730485916138e-01
3.108236694335937500e+01,2.777276933193206787e-01
3.153338623046875000e+01,2.872329056262969971e-01
3.208055114746093750e+01,2.990917265415191650e-01
3.271804046630859375e+01,3.131636083126068115e-01
3.344005584716796875e+01,3.293079435825347900e-01
3.424078369140625000e+01,3.473842144012451172e-01
3.511441802978515625e+01,3.672518432140350342e-01
3.605514526367187500e+01,3.887702524662017822e-01
3.705715942382812500e+01,4.117988944053649902e-01
3.811465454101562500e+01,4.361971914768218994e-01
3.922182464599609375e+01,4.618245959281921387e-01
4.037284851074218750e+01,4.885405600070953369e-01
4.156192016601562500e+01,5.162044763565063477e-01
4.278324127197265625e+01,5.446758270263671875e-01
4.403099822998046875e+01,5.738139748573303223e-01
4.529937744140625000e+01,6.034784317016601562e-01
4.658257293701171875e+01,6.335286498069763184e-01
4.787477874755859375e+01,6.638239622116088867e-01
4.917018890380859375e+01,6.942238807678222656e-01
5.046298217773437500e+01,7.245878577232360840e-01
5.174736022949218750e+01,7.547752857208251953e-01
5.301750946044921875e+01,7.846456170082092285e-01
5.426762390136718750e+01,8.140583038330078125e-01
5.549188995361328125e+01,8.428727388381958008e-01
5.668450927734375000e+01,8.709483742713928223e-01
5.783966064453125000e+01,8.981446623802185059e-01
5.895154571533203125e+01,9.243210554122924805e-01
6.001434326171875000e+01,9.493369460105895996e-01
6.102226257324218750e+01,9.730518460273742676e-01
6.196947479248046875e+01,9.953250885009765625e-01
6.285018920898437500e+01,1.016016125679016113e+00
6.365858459472656250e+01,1.034984469413757324e+00
6.438885498046875000e+01,1.052089571952819824e+00
6.503519439697265625e+01,1.067190766334533691e+00
6.559178924560546875e+01,1.080147504806518555e+00
6.605283355712890625e+01,1.090819358825683594e+00
6.641252136230468750e+01,1.099065542221069336e+00
