time [ms],current density [pA/pF]
0.000000000000000000e+00,-2.970051765441894531e-02
5.914431571960449219e+00,-2.970051765441894531e-02
1.182886314392089844e+01,-2.970051765441894531e-02
1.774329376220703125e+01,-2.970051765441894531e-02
2.365772628784179688e+01,-2.970051765441894531e-02
2.957215690612792969e+01,-2.970051765441894531e-02
3.548658752441406250e+01,-2.970051765441894531e-02
4.140102005004882812e+01,-2.970051765441894531e-02
4.731545257568359375e+01,-2.970051765441894531e-02
5.081945800781250000e+01,-1.998007297515869141e-02
5.086632537841796875e+01,3.681838512420654297e-03
5.091318893432617188e+01,2.734369039535522461e-02
5.096005630493164062e+01,5.100560188293457031e-02
5.100691986083984375e+01,7.466751337051391602e-02
5.105378723144531250e+01,9.832936525344848633e-02
5.199831771850585938e+01,1.176663041114807129e-01
5.820381164550781250e+01,1.168201565742492676e-01
6.217490005493164062e+01,1.151670217514038086e-01
6.631195831298828125e+01,1.135087013244628906e-01
7.061059570312500000e+01,1.118459105491638184e-01
7.506640625000000000e+01,1.101794242858886719e-01
7.967501068115234375e+01,1.085098981857299805e-01
8.443200683593750000e+01,1.068381071090698242e-01
8.933299255371093750e+01,1.051647067070007324e-01
9.437358856201171875e+01,1.034905910491943359e-01
9.954939270019531250e+01,1.018163561820983887e-01
1.048560028076171875e+02,1.001427173614501953e-01
1.102890396118164062e+02,9.847050905227661133e-02
1.158440933227539062e+02,9.680038690567016602e-02
1.215167846679687500e+02,9.513312578201293945e-02
1.273027114868164062e+02,9.346938133239746094e-02
1.331974792480468750e+02,9.180998802185058594e-02
1.391966857910156250e+02,9.015560150146484375e-02
1.452959442138671875e+02,8.850693702697753906e-02
1.514908599853515625e+02,8.686482906341552734e-02
1.577770385742187500e+02,8.522993326187133789e-02
1.641500854492187500e+02,8.360290527343750000e-02
1.706056060791015625e+02,8.198463916778564453e-02
1.771392211914062500e+02,8.037573099136352539e-02
1.837465057373046875e+02,7.877701520919799805e-02
1.904230651855468750e+02,7.718914747238159180e-02
1.971645355224609375e+02,7.561284303665161133e-02
2.039665069580078125e+02,7.404893636703491211e-02
2.108245849609375000e+02,7.249802350997924805e-02
2.177343750000000000e+02,7.096093893051147461e-02
2.246914672851562500e+02,6.943839788436889648e-02
2.316914978027343750e+02,6.793105602264404297e-02
2.387300567626953125e+02,6.643974781036376953e-02
2.458027343750000000e+02,6.496512889862060547e-02
2.529051513671875000e+02,6.350797414779663086e-02
2.600329284667968750e+02,6.206893920898437500e-02
2.671816406250000000e+02,6.064885854721069336e-02
2.743469238281250000e+02,5.924838781356811523e-02
2.815243530273437500e+02,5.786830186843872070e-02
2.887095336914062500e+02,5.650931596755981445e-02
2.958981018066406250e+02,5.517208576202392578e-02
3.030856323242187500e+02,5.385750532150268555e-02
3.102677612304687500e+02,5.256617069244384766e-02
3.174400939941406250e+02,5.129885673522949219e-02
3.245981750488281250e+02,5.005627870559692383e-02
3.317377014160156250e+02,4.883915185928344727e-02
3.388541870117187500e+02,4.764825105667114258e-02
3.459432983398437500e+02,4.648429155349731445e-02
3.530006408691406250e+02,4.534804821014404297e-02
3.600217895507812500e+02,4.424017667770385742e-02
3.670023498535156250e+02,4.316139221191406250e-02
3.739379577636718750e+02,4.211246967315673828e-02
3.808241882324218750e+02,4.109418392181396484e-02
3.876566772460937500e+02,4.010719060897827148e-02
3.944309997558593750e+02,3.915226459503173828e-02
4.011427917480468750e+02,3.823006153106689453e-02
4.077876281738281250e+02,3.734141588211059570e-02
4.143611145019531250e+02,3.648704290390014648e-02
4.208588867187500000e+02,3.566759824752807617e-02
4.272765197753906250e+02,3.488385677337646484e-02
4.336096496582031250e+02,3.413653373718261719e-02
4.398538513183593750e+02,3.342640399932861328e-02
4.460047607421875000e+02,3.275412321090698242e-02
4.520579528808593750e+02,3.212052583694458008e-02
4.580090332031250000e+02,3.152626752853393555e-02
4.638536376953125000e+02,3.097206354141235352e-02
4.695873413085937500e+02,3.045868873596191406e-02
4.752057800292968750e+02,2.998685836791992188e-02
4.807045288085937500e+02,2.955728769302368164e-02
4.860792236328125000e+02,2.917075157165527344e-02
4.913254394531250000e+02,2.882790565490722656e-02
4.964387817382812500e+02,2.852952480316162109e-02
5.014148864746093750e+02,2.827638387680053711e-02
5.062493286132812500e+02,2.806913852691650391e-02
5.109377136230468750e+02,2.790856361389160156e-02
5.154757080078125000e+02,2.779537439346313477e-02
5.198588256835937500e+02,2.773028612136840820e-02
5.240827026367187500e+02,2.771407365798950195e-02
5.281430053710937500e+02,2.774745225906372070e-02
5.320352172851562500e+02,2.783107757568359375e-02
5.357550659179687500e+02,2.796578407287597656e-02
5.392981567382812500e+02,2.815222740173339844e-02
5.426599731445312500e+02,2.839118242263793945e-02
5.458361816406250000e+02,2.868342399597167969e-02
5.488224487304687500e+02,2.902954816818237305e-02
