time [ms],current [pA]
1.064017677307128906e+01,-2.827873229980468750e+00
3.235787200927734375e+01,-2.918945312500000000e+00
5.967242431640625000e+01,-3.017410278320312500e+00
9.238441467285156250e+01,-3.123123168945312500e+00
1.302944183349609375e+02,-3.235923767089843750e+00
1.732030181884765625e+02,-3.355682373046875000e+00
2.209108123779296875e+02,-3.482246398925781250e+00
2.732183532714843750e+02,-3.615463256835937500e+00
3.299262390136718750e+02,-3.755195617675781250e+00
3.908350524902343750e+02,-3.901290893554687500e+00
4.557453613281250000e+02,-4.053604125976562500e+00
5.244577636718750000e+02,-4.211990356445312500e+00
5.967728271484375000e+02,-4.376304626464843750e+00
6.724910888671875000e+02,-4.546394348144531250e+00
7.514132080078125000e+02,-4.722122192382812500e+00
7.907229003906250000e+02,-4.809059143066406250e+00
8.225045166015625000e+02,-4.878684997558593750e+00
8.546072998046875000e+02,-4.948295593261718750e+00
8.870805053710937500e+02,-5.017890930175781250e+00
9.199731445312500000e+02,-5.087478637695312500e+00
9.533345336914062500e+02,-5.157051086425781250e+00
9.872138061523437500e+02,-5.226623535156250000e+00
1.021660156250000000e+03,-5.296188354492187500e+00
1.056722778320312500e+03,-5.365753173828125000e+00
1.092450683593750000e+03,-5.435310363769531250e+00
1.128893310546875000e+03,-5.504867553710937500e+00
1.166099731445312500e+03,-5.574432373046875000e+00
1.204119018554687500e+03,-5.644004821777343750e+00
1.243000488281250000e+03,-5.713577270507812500e+00
1.282793212890625000e+03,-5.783157348632812500e+00
1.323546508789062500e+03,-5.852752685546875000e+00
1.365309448242187500e+03,-5.922363281250000000e+00
1.408131103515625000e+03,-5.991981506347656250e+00
1.452060913085937500e+03,-6.061614990234375000e+00
1.497147827148437500e+03,-6.131271362304687500e+00
1.543441162109375000e+03,-6.200950622558593750e+00
1.590990112304687500e+03,-6.270645141601562500e+00
1.639843750000000000e+03,-6.340370178222656250e+00
1.690051269531250000e+03,-6.410118103027343750e+00
1.741661865234375000e+03,-6.479888916015625000e+00
1.794724731445312500e+03,-6.549697875976562500e+00
1.849289062500000000e+03,-6.619537353515625000e+00
1.905404052734375000e+03,-6.689407348632812500e+00
1.963118774414062500e+03,-6.759315490722656250e+00
2.022482421875000000e+03,-6.829261779785156250e+00
2.083544189453125000e+03,-6.899246215820312500e+00
2.146353515625000000e+03,-6.969268798828125000e+00
2.210959228515625000e+03,-7.039337158203125000e+00
2.277410644531250000e+03,-7.109451293945312500e+00
2.345756835937500000e+03,-7.179618835449218750e+00
2.416047119140625000e+03,-7.249832153320312500e+00
2.488330566406250000e+03,-7.320091247558593750e+00
2.562656494140625000e+03,-7.390411376953125000e+00
2.639073974609375000e+03,-7.460784912109375000e+00
2.717632080078125000e+03,-7.531211853027343750e+00
2.798380371093750000e+03,-7.601699829101562500e+00
2.881367431640625000e+03,-7.672248840332031250e+00
2.966643066406250000e+03,-7.742866516113281250e+00
3.054256103515625000e+03,-7.813537597656250000e+00
3.144255615234375000e+03,-7.884284973144531250e+00
3.206569335937500000e+03,-7.931922912597656250e+00
3.250538085937500000e+03,-7.963287353515625000e+00
3.303178710937500000e+03,-7.999290466308593750e+00
3.362967285156250000e+03,-8.039070129394531250e+00
3.428379638671875000e+03,-8.081726074218750000e+00
3.497892089843750000e+03,-8.126388549804687500e+00
3.569980957031250000e+03,-8.172172546386718750e+00
3.643122070312500000e+03,-8.218200683593750000e+00
3.715791748046875000e+03,-8.263580322265625000e+00
3.786466064453125000e+03,-8.307434082031250000e+00
3.853621093750000000e+03,-8.348884582519531250e+00
3.915732910156250000e+03,-8.387046813964843750e+00
3.971277832031250000e+03,-8.421043395996093750e+00
4.018731933593750000e+03,-8.449981689453125000e+00
4.056571289062500000e+03,-8.472984313964843750e+00
4.083271728515625000e+03,-8.489173889160156250e+00
4.097310058593750000e+03,-8.497665405273437500e+00
4.099104492187500000e+03,-7.893257141113281250e+00
4.102888183593750000e+03,-4.375595092773437500e+00
4.151489746093750000e+03,-4.086021423339843750e+00
4.195467773437500000e+03,-3.960311889648437500e+00
4.241009277343750000e+03,-3.845764160156250000e+00
4.288034667968750000e+03,-3.741050720214843750e+00
4.336465820312500000e+03,-3.644866943359375000e+00
4.386223632812500000e+03,-3.555885314941406250e+00
4.437229492187500000e+03,-3.472778320312500000e+00
4.489404785156250000e+03,-3.394241333007812500e+00
4.542670898437500000e+03,-3.318939208984375000e+00
4.596948730468750000e+03,-3.245559692382812500e+00
4.652160156250000000e+03,-3.172775268554687500e+00
4.708226562500000000e+03,-3.099273681640625000e+00
4.765068359375000000e+03,-3.023727416992187500e+00
4.822607910156250000e+03,-2.944824218750000000e+00
4.880765625000000000e+03,-2.861244201660156250e+00
4.939463867187500000e+03,-2.771652221679687500e+00
4.998623046875000000e+03,-2.674743652343750000e+00
5.058164550781250000e+03,-2.569190979003906250e+00
5.118010253906250000e+03,-2.453681945800781250e+00
