voltage [mV],current [pA]
-1.481660156250000000e+02,-8.737721252441406250e+01
-1.448621673583984375e+02,-8.594294738769531250e+01
-1.415841674804687500e+02,-8.452433013916015625e+01
-1.383321075439453125e+02,-8.312132263183593750e+01
-1.351061096191406250e+02,-8.173387908935546875e+01
-1.319063110351562500e+02,-8.036195373535156250e+01
-1.287328033447265625e+02,-7.900549316406250000e+01
-1.255857009887695312e+02,-7.766445922851562500e+01
-1.224651336669921875e+02,-7.633880615234375000e+01
-1.193712081909179688e+02,-7.502848052978515625e+01
-1.163040466308593750e+02,-7.373344421386718750e+01
-1.132637481689453125e+02,-7.245364379882812500e+01
-1.102504425048828125e+02,-7.118904113769531250e+01
-1.072642364501953125e+02,-6.993957519531250000e+01
-1.043052520751953125e+02,-6.870522308349609375e+01
-1.013735961914062500e+02,-6.748591613769531250e+01
-9.846939849853515625e+01,-6.628161621093750000e+01
-9.559275817871093750e+01,-6.509228515625000000e+01
-9.274378967285156250e+01,-6.391786193847656250e+01
-8.992262268066406250e+01,-6.275831604003906250e+01
-8.712936401367187500e+01,-6.161358642578125000e+01
-8.436412048339843750e+01,-6.048364257812500000e+01
-8.162701416015625000e+01,-5.936842346191406250e+01
-7.891816711425781250e+01,-5.826789093017578125e+01
-7.623769378662109375e+01,-5.718199157714843750e+01
-7.358569335937500000e+01,-5.611068725585937500e+01
-7.096229553222656250e+01,-5.505393218994140625e+01
-6.836761474609375000e+01,-5.401167297363281250e+01
-6.580175781250000000e+01,-5.298387145996093750e+01
-6.326484680175781250e+01,-5.197047424316406250e+01
-6.075699234008789062e+01,-5.097143554687500000e+01
-5.827831268310546875e+01,-4.998672485351562500e+01
-5.582891845703125000e+01,-4.901626586914062500e+01
-5.340892791748046875e+01,-4.806004333496093750e+01
-5.101846313476562500e+01,-4.711798095703125000e+01
-4.865762329101562500e+01,-4.619006347656250000e+01
-4.632653808593750000e+01,-4.527622985839843750e+01
-4.402531433105468750e+01,-4.437641906738281250e+01
-4.175406646728515625e+01,-4.349061584472656250e+01
-3.951291656494140625e+01,-4.261874389648437500e+01
-3.730197143554687500e+01,-4.176078796386718750e+01
-3.512135314941406250e+01,-4.091667175292968750e+01
-3.297116851806640625e+01,-4.008636474609375000e+01
-3.085153961181640625e+01,-3.926982116699218750e+01
-2.876258850097656250e+01,-3.846697998046875000e+01
-2.670441436767578125e+01,-3.767781066894531250e+01
-2.467713165283203125e+01,-3.690228271484375000e+01
-2.268087005615234375e+01,-3.614030456542968750e+01
-2.071574401855468750e+01,-3.539187622070312500e+01
-1.878185272216796875e+01,-3.465692138671875000e+01
-1.687931823730468750e+01,-3.393539428710937500e+01
-1.500826263427734375e+01,-3.322726440429687500e+01
-1.316880035400390625e+01,-3.253248596191406250e+01
-1.136103820800781250e+01,-3.185099792480468750e+01
-9.585090637207031250e+00,-3.118276977539062500e+01
-7.841079711914062500e+00,-3.052774047851562500e+01
-6.129119873046875000e+00,-2.988587951660156250e+01
-3.024139404296875000e+00,-2.873020935058593750e+01
1.400337219238281250e+00,-2.712500000000000000e+01
5.776565551757812500e+00,-2.558610534667968750e+01
1.010266113281250000e+01,-2.411206054687500000e+01
1.437673950195312500e+01,-2.270143127441406250e+01
1.859692382812500000e+01,-2.135273742675781250e+01
2.276130676269531250e+01,-2.006452941894531250e+01
2.686801147460937500e+01,-1.883535766601562500e+01
3.091516113281250000e+01,-1.766374206542968750e+01
3.490086364746093750e+01,-1.654826354980468750e+01
3.882324218750000000e+01,-1.548742675781250000e+01
4.268038940429687500e+01,-1.447979736328125000e+01
4.647044372558593750e+01,-1.352391052246093750e+01
5.019151306152343750e+01,-1.261830139160156250e+01
5.384170532226562500e+01,-1.176153564453125000e+01
5.741912841796875000e+01,-1.095213317871093750e+01
6.092192077636718750e+01,-1.018864440917968750e+01
6.434817504882812500e+01,-9.469619750976562500e+00
6.769602966308593750e+01,-8.793579101562500000e+00
7.096356201171875000e+01,-8.159103393554687500e+00
7.414892578125000000e+01,-7.564697265625000000e+00
7.725019836425781250e+01,-7.008926391601562500e+00
8.026553344726562500e+01,-6.490325927734375000e+00
8.319300842285156250e+01,-6.007431030273437500e+00
8.603077697753906250e+01,-5.558807373046875000e+00
8.877691650390625000e+01,-5.142974853515625000e+00
9.142955017089843750e+01,-4.758483886718750000e+00
9.398681640625000000e+01,-4.403869628906250000e+00
9.644679260253906250e+01,-4.077697753906250000e+00
9.880763244628906250e+01,-3.778488159179687500e+00
1.010674133300781250e+02,-3.504791259765625000e+00
1.032242889404296875e+02,-3.255157470703125000e+00
1.052763366699218750e+02,-3.028121948242187500e+00
1.072216796875000000e+02,-2.822219848632812500e+00
1.090584564208984375e+02,-2.636001586914062500e+00
1.107847595214843750e+02,-2.468017578125000000e+00
1.123986968994140625e+02,-2.316802978515625000e+00
1.138984069824218750e+02,-2.180892944335937500e+00
1.152819824218750000e+02,-2.058837890625000000e+00
1.165475616455078125e+02,-1.949188232421875000e+00
1.176932373046875000e+02,-1.850479125976562500e+00
1.187171325683593750e+02,-1.761260986328125000e+00
1.196173553466796875e+02,-1.680053710937500000e+00
