voltage [mV],current [pA]
-1.478319091796875000e+02,3.459066629409790039e+00
-1.440626220703125000e+02,3.683278322219848633e+00
-1.403631896972656250e+02,3.911726236343383789e+00
-1.367315521240234375e+02,4.144500732421875000e+00
-1.331656036376953125e+02,4.381692886352539062e+00
-1.296632537841796875e+02,4.623393058776855469e+00
-1.262223892211914062e+02,4.869691848754882812e+00
-1.228409423828125000e+02,5.120679855346679688e+00
-1.195168075561523438e+02,5.376448154449462891e+00
-1.162478866577148438e+02,5.637086868286132812e+00
-1.130320968627929688e+02,5.902686595916748047e+00
-1.098673324584960938e+02,6.173337936401367188e+00
-1.067515106201171875e+02,6.449131965637207031e+00
-1.036825332641601562e+02,6.730159282684326172e+00
-1.006583023071289062e+02,7.016510009765625000e+00
-9.767672729492187500e+01,7.308275222778320312e+00
-9.473571014404296875e+01,7.605545043945312500e+00
-9.183316802978515625e+01,7.908411026000976562e+00
-8.896699523925781250e+01,8.216962814331054688e+00
-8.613510131835937500e+01,8.531291007995605469e+00
-8.333540344238281250e+01,8.851487159729003906e+00
-8.056578826904296875e+01,9.177641868591308594e+00
-7.782417297363281250e+01,9.509844779968261719e+00
-7.510846710205078125e+01,9.848187446594238281e+00
-7.241656494140625000e+01,1.019275951385498047e+01
-6.974639129638671875e+01,1.054365253448486328e+01
-6.709583282470703125e+01,1.090095615386962891e+01
-6.446280670166015625e+01,1.126476287841796875e+01
-6.184521484375000000e+01,1.163516139984130859e+01
-5.924096679687500000e+01,1.201224231719970703e+01
-5.664796447753906250e+01,1.239609813690185547e+01
-5.406411743164062500e+01,1.278681755065917969e+01
-5.148732757568359375e+01,1.318449211120605469e+01
-4.891550445556640625e+01,1.358921241760253906e+01
-4.634655761718750000e+01,1.400106906890869141e+01
-4.377838897705078125e+01,1.442015266418457031e+01
-4.120890045166015625e+01,1.484655380249023438e+01
-3.863600921630859375e+01,1.528036308288574219e+01
-3.605760955810546875e+01,1.572167015075683594e+01
-3.347161865234375000e+01,1.617056846618652344e+01
-3.087593078613281250e+01,1.662714576721191406e+01
-2.826846313476562500e+01,1.709149360656738281e+01
-2.564711761474609375e+01,1.756370162963867188e+01
-2.300979614257812500e+01,1.804386329650878906e+01
-2.035440826416015625e+01,1.853206634521484375e+01
-1.767886352539062500e+01,1.902840423583984375e+01
-1.498106384277343750e+01,1.953296470642089844e+01
-1.225891876220703125e+01,2.004583930969238281e+01
-9.510330200195312500e+00,2.056711959838867188e+01
-6.733200073242187500e+00,2.109689521789550781e+01
-3.925445556640625000e+00,2.163525772094726562e+01
-1.084968566894531250e+00,2.218229675292968750e+01
1.790321350097656250e+00,2.273810195922851562e+01
4.642913818359375000e+00,2.329120254516601562e+01
7.174278259277343750e+00,2.378365325927734375e+01
9.685424804687500000e+00,2.427382850646972656e+01
1.217764282226562500e+01,2.476180267333984375e+01
1.465226745605468750e+01,2.524765205383300781e+01
1.711058044433593750e+01,2.573144531250000000e+01
1.955392456054687500e+01,2.621326065063476562e+01
2.198358154296875000e+01,2.669316673278808594e+01
2.440086364746093750e+01,2.717124176025390625e+01
2.680708312988281250e+01,2.764755439758300781e+01
2.920356750488281250e+01,2.812218093872070312e+01
3.159159851074218750e+01,2.859519386291503906e+01
3.397250366210937500e+01,2.906666564941406250e+01
3.634757995605468750e+01,2.953667259216308594e+01
3.871813964843750000e+01,3.000528335571289062e+01
4.108551025390625000e+01,3.047257614135742188e+01
4.345097351074218750e+01,3.093862152099609375e+01
4.581584167480468750e+01,3.140349197387695312e+01
4.818144226074218750e+01,3.186726379394531250e+01
5.054907226562500000e+01,3.233000946044921875e+01
5.292004394531250000e+01,3.279180145263671875e+01
5.529566955566406250e+01,3.325271224975585938e+01
5.767724609375000000e+01,3.371281433105468750e+01
6.006610107421875000e+01,3.417218780517578125e+01
6.246351623535156250e+01,3.463089752197265625e+01
6.487083435058593750e+01,3.508902359008789062e+01
6.728933715820312500e+01,3.554663467407226562e+01
6.972035217285156250e+01,3.600380325317382812e+01
7.216519165039062500e+01,3.646060943603515625e+01
7.462513732910156250e+01,3.691712188720703125e+01
7.710151672363281250e+01,3.737341308593750000e+01
7.959564208984375000e+01,3.782955551147460938e+01
8.210882568359375000e+01,3.828562545776367188e+01
8.464234924316406250e+01,3.874169921875000000e+01
8.719755554199218750e+01,3.919784164428710938e+01
8.977574157714843750e+01,3.965413284301757812e+01
9.237820434570312500e+01,4.011064529418945312e+01
9.500627136230468750e+01,4.056745147705078125e+01
9.766125488281250000e+01,4.102462387084960938e+01
1.003444366455078125e+02,4.148223495483398438e+01
1.030571441650390625e+02,4.194036102294921875e+01
1.058006896972656250e+02,4.239907455444335938e+01
1.085763854980468750e+02,4.285844802856445312e+01
1.113855133056640625e+02,4.331855392456054688e+01
1.142294158935546875e+02,4.377946472167968750e+01
1.171093902587890625e+02,4.424126052856445312e+01
1.200267333984375000e+02,4.470400619506835938e+01
