time [ms],current density [pA/pF]
-1.129481270909309387e-01,-1.383741758763790131e-02
5.628858089447021484e+00,-1.383741758763790131e-02
1.137066364288330078e+01,-1.383741758763790131e-02
1.711247062683105469e+01,-1.383741758763790131e-02
2.285427665710449219e+01,-1.383741758763790131e-02
2.859608268737792969e+01,-1.383741758763790131e-02
3.433788681030273438e+01,-1.383741758763790131e-02
4.007969284057617188e+01,-1.383741758763790131e-02
4.582149887084960938e+01,-1.383741758763790131e-02
5.100375366210937500e+01,-1.667816750705242157e-02
5.113346862792968750e+01,-4.516972601413726807e-02
5.126318740844726562e+01,-7.366128265857696533e-02
5.309157562255859375e+01,-1.011421531438827515e-01
5.802061080932617188e+01,-1.012212038040161133e-01
6.037907409667968750e+01,-1.005312129855155945e-01
6.290959548950195312e+01,-9.981036931276321411e-02
6.560887908935546875e+01,-9.905963391065597534e-02
6.847362518310546875e+01,-9.827995300292968750e-02
7.150052642822265625e+01,-9.747229516506195068e-02
7.468629455566406250e+01,-9.663760662078857422e-02
7.802761840820312500e+01,-9.577684849500656128e-02
8.152120208740234375e+01,-9.489097446203231812e-02
8.516374969482421875e+01,-9.398094564676284790e-02
8.895195770263671875e+01,-9.304771572351455688e-02
9.288252258300781250e+01,-9.209223836660385132e-02
9.695214843750000000e+01,-9.111546725034713745e-02
1.011575317382812500e+02,-9.011837095022201538e-02
1.054953689575195312e+02,-8.910189568996429443e-02
1.099623718261718750e+02,-8.806700259447097778e-02
1.145552291870117188e+02,-8.701464533805847168e-02
1.192706451416015625e+02,-8.594577759504318237e-02
1.241053237915039062e+02,-8.486136049032211304e-02
1.290559539794921875e+02,-8.376234769821166992e-02
1.341192474365234375e+02,-8.264969289302825928e-02
1.392918853759765625e+02,-8.152436465024948120e-02
1.445706024169921875e+02,-8.038730919361114502e-02
1.499520568847656250e+02,-7.923948019742965698e-02
1.554329833984375000e+02,-7.808183878660202026e-02
1.610100555419921875e+02,-7.691533863544464111e-02
1.666799774169921875e+02,-7.574094086885452271e-02
1.724394683837890625e+02,-7.455959916114807129e-02
1.782852172851562500e+02,-7.337227463722229004e-02
1.842139129638671875e+02,-7.217991352081298828e-02
1.902222595214843750e+02,-7.098347693681716919e-02
1.963069763183593750e+02,-6.978392601013183594e-02
2.024647369384765625e+02,-6.858220696449279785e-02
2.086922607421875000e+02,-6.737928092479705811e-02
2.149862365722656250e+02,-6.617610901594161987e-02
2.213433685302734375e+02,-6.497364491224288940e-02
2.277603454589843750e+02,-6.377284228801727295e-02
2.342338867187500000e+02,-6.257466226816177368e-02
2.407606658935546875e+02,-6.138005107641220093e-02
2.473374176025390625e+02,-6.018997728824615479e-02
2.539608154296875000e+02,-5.900539085268974304e-02
2.606275634765625000e+02,-5.782724544405937195e-02
2.673343505859375000e+02,-5.665650591254234314e-02
2.740779113769531250e+02,-5.549411848187446594e-02
2.808549194335937500e+02,-5.434104800224304199e-02
2.876620788574218750e+02,-5.319824814796447754e-02
2.944960937500000000e+02,-5.206667259335517883e-02
3.013536682128906250e+02,-5.094727873802185059e-02
3.082314758300781250e+02,-4.984102770686149597e-02
3.151262512207031250e+02,-4.874886944890022278e-02
3.220346679687500000e+02,-4.767176136374473572e-02
3.289534301757812500e+02,-4.661066457629203796e-02
3.358792724609375000e+02,-4.556652903556823730e-02
3.428088378906250000e+02,-4.454031586647033691e-02
3.497388610839843750e+02,-4.353297874331474304e-02
3.566660461425781250e+02,-4.254547506570816040e-02
3.635870666503906250e+02,-4.157876223325729370e-02
3.704986267089843750e+02,-4.063379392027854919e-02
3.773974609375000000e+02,-3.971152752637863159e-02
3.842802124023437500e+02,-3.881292045116424561e-02
3.911436462402343750e+02,-3.793892636895179749e-02
3.979844055175781250e+02,-3.709050640463829041e-02
4.047992248535156250e+02,-3.626861050724983215e-02
4.115848083496093750e+02,-3.547420352697372437e-02
4.183378295898437500e+02,-3.470823168754577637e-02
4.250549926757812500e+02,-3.397165983915328979e-02
4.317330017089843750e+02,-3.326544165611267090e-02
4.383685607910156250e+02,-3.259053081274032593e-02
4.449583435058593750e+02,-3.194788470864295959e-02
4.514991149902343750e+02,-3.133846074342727661e-02
4.579875183105468750e+02,-3.076321445405483246e-02
4.644202575683593750e+02,-3.022310510277748108e-02
4.707940673828125000e+02,-2.971908450126647949e-02
4.771055908203125000e+02,-2.925211191177368164e-02
4.833515930175781250e+02,-2.882314287126064301e-02
4.895287170410156250e+02,-2.843313291668891907e-02
4.956336975097656250e+02,-2.808304131031036377e-02
5.016632385253906250e+02,-2.777381986379623413e-02
5.076139831542968750e+02,-2.750642783939838409e-02
5.134827270507812500e+02,-2.728182263672351837e-02
5.192660522460937500e+02,-2.710095606744289398e-02
5.249607543945312500e+02,-2.696478925645351410e-02
5.305635375976562500e+02,-2.687427587807178497e-02
5.360710449218750000e+02,-2.683037333190441132e-02
5.414799804687500000e+02,-2.683403901755809784e-02
5.467870483398437500e+02,-2.688622660934925079e-02
5.519889526367187500e+02,-2.698789350688457489e-02
