time [ms],current [pA]
8.737525939941406250e+00,-1.976181030273437500e+00
2.993136024475097656e+01,-2.017036437988281250e+00
5.617683029174804688e+01,-2.058860778808593750e+00
8.733778381347656250e+01,-2.101821899414062500e+00
1.232780761718750000e+02,-2.146057128906250000e+00
1.638615570068359375e+02,-2.191741943359375000e+00
2.089520721435546875e+02,-2.239028930664062500e+00
2.584134826660156250e+02,-2.288063049316406250e+00
3.121096191406250000e+02,-2.339012145996093750e+00
3.699043579101562500e+02,-2.392036437988281250e+00
4.316615295410156250e+02,-2.447280883789062500e+00
4.972449951171875000e+02,-2.504905700683593750e+00
5.665186157226562500e+02,-2.565071105957031250e+00
6.393461914062500000e+02,-2.627929687500000000e+00
7.155916137695312500e+02,-2.693634033203125000e+00
7.878230590820312500e+02,-2.755996704101562500e+00
8.321419067382812500e+02,-2.793098449707031250e+00
8.755873413085937500e+02,-2.827697753906250000e+00
9.182413940429687500e+02,-2.859924316406250000e+00
9.601860961914062500e+02,-2.889877319335937500e+00
1.001503479003906250e+03,-2.917671203613281250e+00
1.042275634765625000e+03,-2.943428039550781250e+00
1.082584716796875000e+03,-2.967262268066406250e+00
1.122512573242187500e+03,-2.989273071289062500e+00
1.162141357421875000e+03,-3.009582519531250000e+00
1.201553222656250000e+03,-3.028312683105468750e+00
1.240830078125000000e+03,-3.045562744140625000e+00
1.280054077148437500e+03,-3.061447143554687500e+00
1.319307250976562500e+03,-3.076087951660156250e+00
1.358671630859375000e+03,-3.089591979980468750e+00
1.398229248046875000e+03,-3.102081298828125000e+00
1.438062255859375000e+03,-3.113655090332031250e+00
1.478252685546875000e+03,-3.124443054199218750e+00
1.518882568359375000e+03,-3.134544372558593750e+00
1.560033935546875000e+03,-3.144073486328125000e+00
1.601788940429687500e+03,-3.153160095214843750e+00
1.644229492187500000e+03,-3.161895751953125000e+00
1.687437744140625000e+03,-3.170410156250000000e+00
1.731495727539062500e+03,-3.178810119628906250e+00
1.776485473632812500e+03,-3.187202453613281250e+00
1.822489135742187500e+03,-3.195716857910156250e+00
1.869588623046875000e+03,-3.204452514648437500e+00
1.917866210937500000e+03,-3.213531494140625000e+00
1.967403686523437500e+03,-3.223060607910156250e+00
2.018283325195312500e+03,-3.233154296875000000e+00
2.070587158203125000e+03,-3.243927001953125000e+00
2.124396972656250000e+03,-3.255500793457031250e+00
2.179795410156250000e+03,-3.267974853515625000e+00
2.236863769531250000e+03,-3.281471252441406250e+00
2.295684814453125000e+03,-3.296096801757812500e+00
2.356340087890625000e+03,-3.311973571777343750e+00
2.418911865234375000e+03,-3.329208374023437500e+00
2.483482177734375000e+03,-3.347915649414062500e+00
2.550133056640625000e+03,-3.368209838867187500e+00
2.618946533203125000e+03,-3.390205383300781250e+00
2.690004882812500000e+03,-3.414016723632812500e+00
2.763389892578125000e+03,-3.439750671386718750e+00
2.839183837890625000e+03,-3.467529296875000000e+00
2.917468505859375000e+03,-3.497459411621093750e+00
2.998326416015625000e+03,-3.529663085937500000e+00
3.081838867187500000e+03,-3.564239501953125000e+00
3.168088623046875000e+03,-3.601310729980468750e+00
3.228716552734375000e+03,-3.627304077148437500e+00
3.272081787109375000e+03,-3.640769958496093750e+00
3.323696044921875000e+03,-3.652954101562500000e+00
3.382103515625000000e+03,-3.663909912109375000e+00
3.445847900390625000e+03,-3.673706054687500000e+00
3.513472900390625000e+03,-3.682380676269531250e+00
3.583522216796875000e+03,-3.690017700195312500e+00
3.654539794921875000e+03,-3.696655273437500000e+00
3.725069335937500000e+03,-3.702369689941406250e+00
3.793654785156250000e+03,-3.707214355468750000e+00
3.858839843750000000e+03,-3.711242675781250000e+00
3.919168212890625000e+03,-3.714523315429687500e+00
3.973183837890625000e+03,-3.717109680175781250e+00
4.019430664062500000e+03,-3.719062805175781250e+00
4.056451904296875000e+03,-3.720443725585937500e+00
4.082791992187500000e+03,-3.721313476562500000e+00
4.096994628906250000e+03,-3.721725463867187500e+00
4.099104492187500000e+03,-3.193977355957031250e+00
4.127565917968750000e+03,-2.477500915527343750e+00
4.171172851562500000e+03,-2.405029296875000000e+00
4.214463378906250000e+03,-2.345031738281250000e+00
4.259154296875000000e+03,-2.292800903320312500e+00
4.305188964843750000e+03,-2.247360229492187500e+00
4.352510253906250000e+03,-2.207733154296875000e+00
4.401060546875000000e+03,-2.172935485839843750e+00
4.450782714843750000e+03,-2.142005920410156250e+00
4.501619140625000000e+03,-2.113967895507812500e+00
4.553513183593750000e+03,-2.087837219238281250e+00
4.606407226562500000e+03,-2.062652587890625000e+00
4.660244140625000000e+03,-2.037429809570312500e+00
4.714966308593750000e+03,-2.011199951171875000e+00
4.770517089843750000e+03,-1.982978820800781250e+00
4.826838867187500000e+03,-1.951805114746093750e+00
4.883874511718750000e+03,-1.916694641113281250e+00
4.941566894531250000e+03,-1.876678466796875000e+00
4.999858398437500000e+03,-1.830780029296875000e+00
5.058691894531250000e+03,-1.778015136718750000e+00
5.118010253906250000e+03,-1.717430114746093750e+00
