time [ms],current [pA]
0.000000000000000000e+00,-5.469695091247558594e+00
1.008064270019531250e+01,-5.469695091247558594e+00
2.016128540039062500e+01,-5.469695091247558594e+00
3.024192619323730469e+01,-5.469695091247558594e+00
4.032257080078125000e+01,-5.469695091247558594e+00
5.040320968627929688e+01,-5.469695091247558594e+00
5.451805877685546875e+01,9.872542381286621094e+00
5.457523727416992188e+01,3.564990615844726562e+01
5.463241195678710938e+01,6.142726898193359375e+01
5.468958663940429688e+01,8.720463562011718750e+01
5.474676132202148438e+01,1.129819946289062500e+02
5.480393600463867188e+01,1.387593688964843750e+02
5.486111068725585938e+01,1.645367279052734375e+02
5.491828536987304688e+01,1.903140869140625000e+02
5.497546005249023438e+01,2.160914459228515625e+02
5.503263854980468750e+01,2.418688201904296875e+02
5.508981323242187500e+01,2.676461791992187500e+02
5.514698791503906250e+01,2.934235534667968750e+02
5.520416259765625000e+01,3.192008972167968750e+02
5.526133728027343750e+01,3.449782714843750000e+02
5.531851196289062500e+01,3.707556457519531250e+02
5.537568664550781250e+01,3.965329895019531250e+02
5.543286132812500000e+01,4.223103637695312500e+02
5.549003601074218750e+01,4.480877380371093750e+02
5.554721450805664062e+01,4.738650817871093750e+02
5.560438919067382812e+01,4.996424560546875000e+02
5.566156387329101562e+01,5.254197998046875000e+02
5.571873855590820312e+01,5.511972045898437500e+02
5.577591323852539062e+01,5.769745483398437500e+02
5.583308792114257812e+01,6.027518920898437500e+02
5.589026260375976562e+01,6.285292968750000000e+02
5.594743728637695312e+01,6.543066406250000000e+02
5.600461196899414062e+01,6.800839843750000000e+02
5.606179046630859375e+01,7.058613891601562500e+02
5.611896514892578125e+01,7.316387329101562500e+02
5.617613983154296875e+01,7.574160766601562500e+02
5.623331451416015625e+01,7.831934814453125000e+02
5.629048919677734375e+01,8.089708251953125000e+02
5.634766387939453125e+01,8.347481689453125000e+02
5.640483856201171875e+01,8.605255737304687500e+02
5.646201324462890625e+01,8.863029174804687500e+02
5.651919174194335938e+01,9.120802612304687500e+02
5.661818313598632812e+01,9.422867431640625000e+02
5.815097045898437500e+01,9.673212280273437500e+02
5.991354370117187500e+01,9.468900146484375000e+02
6.113998031616210938e+01,9.164573364257812500e+02
6.243507766723632812e+01,8.837792358398437500e+02
6.371916580200195312e+01,8.519542846679687500e+02
6.500917816162109375e+01,8.209616699218750000e+02
6.632205200195312500e+01,7.907805786132812500e+02
6.767470550537109375e+01,7.613901367187500000e+02
6.908407592773437500e+01,7.327696533203125000e+02
7.056708526611328125e+01,7.048981933593750000e+02
7.214067840576171875e+01,6.777549438476562500e+02
7.382177734375000000e+01,6.513191528320312500e+02
7.562731170654296875e+01,6.255699462890625000e+02
7.757421112060546875e+01,6.004865112304687500e+02
7.967941284179687500e+01,5.760479736328125000e+02
8.195983886718750000e+01,5.522336425781250000e+02
8.443241882324218750e+01,5.290225830078125000e+02
8.711408996582031250e+01,5.063939819335937500e+02
9.002178192138671875e+01,4.843270568847656250e+02
9.317242431640625000e+01,4.628009643554687500e+02
9.658293914794921875e+01,4.417949218750000000e+02
1.002702713012695312e+02,4.212880554199218750e+02
1.042513351440429688e+02,4.012595520019531250e+02
1.085430755615234375e+02,3.816886291503906250e+02
1.131624145507812500e+02,3.625544128417968750e+02
1.181262817382812500e+02,3.438361206054687500e+02
1.234516143798828125e+02,3.255129089355468750e+02
1.291553344726562500e+02,3.075639953613281250e+02
1.352543792724609375e+02,2.899685058593750000e+02
1.417656707763671875e+02,2.727056274414062500e+02
1.487061614990234375e+02,2.557545623779296875e+02
1.560927429199218750e+02,2.390944671630859375e+02
1.639423828125000000e+02,2.227045440673828125e+02
1.720543060302734375e+02,2.069305572509765625e+02
1.801308135986328125e+02,1.921596374511718750e+02
1.882157287597656250e+02,1.782868347167968750e+02
1.963260498046875000e+02,1.652757568359375000e+02
2.044787902832031250e+02,1.530899658203125000e+02
2.126909332275390625e+02,1.416930847167968750e+02
2.209795074462890625e+02,1.310487060546875000e+02
2.293614959716796875e+02,1.211204147338867188e+02
2.378539276123046875e+02,1.118718185424804688e+02
2.464737854003906250e+02,1.032665176391601562e+02
2.552380981445312500e+02,9.526808929443359375e+01
2.641638488769531250e+02,8.784014892578125000e+01
2.732680664062500000e+02,8.094628143310546875e+01
2.825677185058593750e+02,7.455009460449218750e+01
2.920798339843750000e+02,6.861517333984375000e+01
3.018214416503906250e+02,6.310511779785156250e+01
3.118094787597656250e+02,5.798352813720703125e+01
3.220610351562500000e+02,5.321399307250976562e+01
3.325930480957031250e+02,4.876011657714843750e+01
3.434225769042968750e+02,4.458549118041992188e+01
3.545665588378906250e+02,4.065371322631835938e+01
3.660420532226562500e+02,3.692838287353515625e+01
3.778660583496093750e+02,3.337309265136718750e+01
3.900555725097656250e+02,2.995143890380859375e+01
