voltage[mV],steady state
-8.000000000000000000e+01,0.000000000000000000e+00
-7.978729248046875000e+01,1.223622239194810390e-04
-7.957348632812500000e+01,2.414048067294061184e-04
-7.935859680175781250e+01,3.571770794223994017e-04
-7.914263916015625000e+01,4.697284311987459660e-04
-7.892562866210937500e+01,5.791081930510699749e-04
-7.870758056640625000e+01,6.853657541796565056e-04
-7.848851776123046875e+01,7.885504164732992649e-04
-7.826845550537109375e+01,8.887115982361137867e-04
-7.804740905761718750e+01,9.858985431492328644e-04
-7.782538604736328125e+01,1.080160727724432945e-03
-7.760241699218750000e+01,1.171547453850507736e-03
-7.737850952148437500e+01,1.260108198039233685e-03
-7.715367889404296875e+01,1.345892087556421757e-03
-7.692795562744140625e+01,1.428948598913848400e-03
-7.670133972167968750e+01,1.509327092207968235e-03
-7.647385406494140625e+01,1.587076927535235882e-03
-7.624551391601562500e+01,1.662247348576784134e-03
-7.601634216308593750e+01,1.734887948259711266e-03
-7.578634643554687500e+01,1.805047853849828243e-03
-7.555554962158203125e+01,1.872776541858911514e-03
-7.532396697998046875e+01,1.938123372383415699e-03
-7.509160614013671875e+01,2.001137472689151764e-03
-7.485849761962890625e+01,2.061868552118539810e-03
-7.462464904785156250e+01,2.120365854352712631e-03
-7.439008331298828125e+01,2.176678506657481194e-03
-7.415481567382812500e+01,2.230856334790587425e-03
-7.391885375976562500e+01,2.282948000356554985e-03
-7.368222045898437500e+01,2.333003561943769455e-03
-7.344493103027343750e+01,2.381071913987398148e-03
-7.320700836181640625e+01,2.427202649414539337e-03
-7.296846008300781250e+01,2.471445128321647644e-03
-7.272930908203125000e+01,2.513848477974534035e-03
-7.248956298828125000e+01,2.554462058469653130e-03
-7.224925231933593750e+01,2.593335462734103203e-03
-7.200838470458984375e+01,2.630518050864338875e-03
-7.176697540283203125e+01,2.666058950126171112e-03
-7.152503967285156250e+01,2.700007753446698189e-03
-7.128260803222656250e+01,2.732413820922374725e-03
-7.103968048095703125e+01,2.763326046988368034e-03
-7.079627990722656250e+01,2.792794257402420044e-03
-7.055242156982421875e+01,2.820867812260985374e-03
