time [ms],current [pA]
1.312129402160644531e+01,-3.622375488281250000e+00
3.418627929687500000e+01,-3.756584167480468750e+00
6.150589370727539062e+01,-3.955741882324218750e+00
9.482541656494140625e+01,-4.212745666503906250e+00
1.338901062011718750e+02,-4.520492553710937500e+00
1.784452209472656250e+02,-4.871864318847656250e+00
2.282360534667968750e+02,-5.259757995605468750e+00
2.830078735351562500e+02,-5.677070617675781250e+00
3.425059204101562500e+02,-6.116676330566406250e+00
4.064754638671875000e+02,-6.571487426757812500e+00
4.746618041992187500e+02,-7.034385681152343750e+00
5.468101806640625000e+02,-7.498260498046875000e+00
6.226658935546875000e+02,-7.956008911132812500e+00
7.019741821289062500e+02,-8.400520324707031250e+00
7.689799804687500000e+02,-8.748359680175781250e+00
8.016190185546875000e+02,-8.913726806640625000e+00
8.346878051757812500e+02,-9.081657409667968750e+00
8.682385253906250000e+02,-9.252014160156250000e+00
9.023231811523437500e+02,-9.424674987792968750e+00
9.369938964843750000e+02,-9.599494934082031250e+00
9.723028564453125000e+02,-9.776344299316406250e+00
1.008302124023437500e+03,-9.955085754394531250e+00
1.045043701171875000e+03,-1.013558959960937500e+01
1.082579833984375000e+03,-1.031771850585937500e+01
1.120962646484375000e+03,-1.050133514404296875e+01
1.160244140625000000e+03,-1.068630981445312500e+01
1.200476440429687500e+03,-1.087251281738281250e+01
1.241711669921875000e+03,-1.105979156494140625e+01
1.284001831054687500e+03,-1.124803161621093750e+01
1.327399291992187500e+03,-1.143709564208984375e+01
1.371955932617187500e+03,-1.162683868408203125e+01
1.417723876953125000e+03,-1.181713104248046875e+01
1.464755249023437500e+03,-1.200784301757812500e+01
1.513102294921875000e+03,-1.219882965087890625e+01
1.562816894531250000e+03,-1.238996887207031250e+01
1.613951293945312500e+03,-1.258112335205078125e+01
1.666557617187500000e+03,-1.277215576171875000e+01
1.720687866210937500e+03,-1.296293640136718750e+01
1.776394165039062500e+03,-1.315332031250000000e+01
1.833728759765625000e+03,-1.334318542480468750e+01
1.892743530273437500e+03,-1.353239440917968750e+01
1.953490722656250000e+03,-1.372080230712890625e+01
2.016022460937500000e+03,-1.390828704833984375e+01
2.080390869140625000e+03,-1.409471130371093750e+01
2.146647705078125000e+03,-1.427994537353515625e+01
2.214845703125000000e+03,-1.446384429931640625e+01
2.285036376953125000e+03,-1.464627838134765625e+01
2.357272216796875000e+03,-1.482711029052734375e+01
2.431605224609375000e+03,-1.500621795654296875e+01
2.508087158203125000e+03,-1.518345642089843750e+01
2.586770751953125000e+03,-1.535868835449218750e+01
2.667707763671875000e+03,-1.553178405761718750e+01
2.750950195312500000e+03,-1.570261383056640625e+01
2.836550292968750000e+03,-1.587104034423828125e+01
2.924560302734375000e+03,-1.603692626953125000e+01
3.015031982421875000e+03,-1.620013809204101562e+01
3.108017822265625000e+03,-1.636054611206054688e+01
3.195412109375000000e+03,-1.650477600097656250e+01
3.236656738281250000e+03,-1.656592178344726562e+01
3.288752197265625000e+03,-1.663654708862304688e+01
3.349808105468750000e+03,-1.671476745605468750e+01
3.417934326171875000e+03,-1.679870605468750000e+01
3.491240722656250000e+03,-1.688648223876953125e+01
3.567836669921875000e+03,-1.697621536254882812e+01
3.645831787109375000e+03,-1.706602859497070312e+01
3.723336181640625000e+03,-1.715404129028320312e+01
3.798459228515625000e+03,-1.723837280273437500e+01
3.869311035156250000e+03,-1.731714248657226562e+01
3.934000732421875000e+03,-1.738847351074218750e+01
3.990638183593750000e+03,-1.745048141479492188e+01
4.037333496093750000e+03,-1.750128936767578125e+01
4.072195800781250000e+03,-1.753902053833007812e+01
4.093335205078125000e+03,-1.756179046630859375e+01
4.099104492187500000e+03,-1.735430908203125000e+01
4.106979492187500000e+03,-7.258674621582031250e+00
4.153604980468750000e+03,-6.776046752929687500e+00
4.199338378906250000e+03,-6.527572631835937500e+00
4.247075195312500000e+03,-6.294151306152343750e+00
4.296689941406250000e+03,-6.074485778808593750e+00
4.348056640625000000e+03,-5.867271423339843750e+00
4.401049316406250000e+03,-5.671226501464843750e+00
4.455542968750000000e+03,-5.485038757324218750e+00
4.511410644531250000e+03,-5.307418823242187500e+00
4.568527343750000000e+03,-5.137069702148437500e+00
4.626767089843750000e+03,-4.972694396972656250e+00
4.686003906250000000e+03,-4.812995910644531250e+00
4.746111816406250000e+03,-4.656677246093750000e+00
4.806964843750000000e+03,-4.502433776855468750e+00
4.868437988281250000e+03,-4.348983764648437500e+00
4.930404785156250000e+03,-4.195014953613281250e+00
4.992739746093750000e+03,-4.039237976074218750e+00
5.055316894531250000e+03,-3.880363464355468750e+00
5.118010253906250000e+03,-3.717079162597656250e+00
