time [ms],current density [pA/pF]
-1.129481270909309387e-01,-1.409667078405618668e-02
7.519303321838378906e+00,-1.409667078405618668e-02
1.515155506134033203e+01,-1.409667078405618668e-02
2.278380584716796875e+01,-1.409667078405618668e-02
3.041605758666992188e+01,-1.409667078405618668e-02
3.804830932617187500e+01,-1.409667078405618668e-02
4.568056106567382812e+01,-1.409667078405618668e-02
5.108156585693359375e+01,-2.582859061658382416e-02
5.137984848022460938e+01,-6.439070403575897217e-02
5.167813110351562500e+01,-1.029528155922889709e-01
5.197640991210937500e+01,-1.415149271488189697e-01
5.227469253540039062e+01,-1.800770312547683716e-01
5.257297515869140625e+01,-2.186391502618789673e-01
5.287125778198242188e+01,-2.572012543678283691e-01
5.316953659057617188e+01,-2.957633733749389648e-01
5.346781921386718750e+01,-3.343254923820495605e-01
5.376610183715820312e+01,-3.728875815868377686e-01
5.406438064575195312e+01,-4.114497005939483643e-01
5.436266326904296875e+01,-4.500118196010589600e-01
5.466094589233398438e+01,-4.885739088058471680e-01
5.495922851562500000e+01,-5.271360278129577637e-01
5.525750732421875000e+01,-5.656981468200683594e-01
5.555578994750976562e+01,-6.042602658271789551e-01
5.585407257080078125e+01,-6.428223848342895508e-01
5.615235137939453125e+01,-6.813845038414001465e-01
5.645063400268554688e+01,-7.199465632438659668e-01
5.674891662597656250e+01,-7.585086822509765625e-01
5.704719924926757812e+01,-7.970708012580871582e-01
5.734547805786132812e+01,-8.356329202651977539e-01
5.764376068115234375e+01,-8.741950392723083496e-01
5.794204330444335938e+01,-9.127571582794189453e-01
5.824032211303710938e+01,-9.513192772865295410e-01
5.853860473632812500e+01,-9.898813366889953613e-01
5.883732223510742188e+01,-1.028532981872558594e+00
6.142838287353515625e+01,-1.075433492660522461e+00
6.678461456298828125e+01,-1.105582952499389648e+00
7.246446228027343750e+01,-1.119609594345092773e+00
7.896881866455078125e+01,-1.120565533638000488e+00
8.707511138916015625e+01,-1.120101094245910645e+00
9.539245605468750000e+01,-1.119655132293701172e+00
1.039095153808593750e+02,-1.119227290153503418e+00
1.126149673461914062e+02,-1.118817210197448730e+00
1.214974746704101562e+02,-1.118424415588378906e+00
1.305457000732421875e+02,-1.118048787117004395e+00
1.397482910156250000e+02,-1.117689847946166992e+00
1.490939483642578125e+02,-1.117347121238708496e+00
1.585713195800781250e+02,-1.117020487785339355e+00
1.681690521240234375e+02,-1.116709351539611816e+00
1.778758392333984375e+02,-1.116413474082946777e+00
1.876803436279296875e+02,-1.116132497787475586e+00
1.975712127685546875e+02,-1.115865945816040039e+00
2.075371246337890625e+02,-1.115613579750061035e+00
2.175667419433593750e+02,-1.115375041961669922e+00
2.276487274169921875e+02,-1.115149855613708496e+00
2.377717590332031250e+02,-1.114937782287597656e+00
2.479244842529296875e+02,-1.114738464355468750e+00
2.580955810546875000e+02,-1.114551424980163574e+00
2.682737121582031250e+02,-1.114376306533813477e+00
2.784475402832031250e+02,-1.114212870597839355e+00
2.886057128906250000e+02,-1.114060640335083008e+00
2.987369384765625000e+02,-1.113919377326965332e+00
3.088298339843750000e+02,-1.113788604736328125e+00
3.188731079101562500e+02,-1.113668084144592285e+00
3.288553771972656250e+02,-1.113557338714599609e+00
3.387653808593750000e+02,-1.113456010818481445e+00
3.485917053222656250e+02,-1.113363742828369141e+00
3.583230590820312500e+02,-1.113280177116394043e+00
3.679481201171875000e+02,-1.113205075263977051e+00
3.774555053710937500e+02,-1.113137960433959961e+00
3.868339233398437500e+02,-1.113078474998474121e+00
3.960719909667968750e+02,-1.113026261329650879e+00
4.051584472656250000e+02,-1.112980961799621582e+00
4.140818786621093750e+02,-1.112942218780517578e+00
4.228310241699218750e+02,-1.112909674644470215e+00
4.313945007324218750e+02,-1.112882971763610840e+00
4.397609863281250000e+02,-1.112861752510070801e+00
4.479191284179687500e+02,-1.112845659255981445e+00
4.558576354980468750e+02,-1.112834215164184570e+00
4.635651245117187500e+02,-1.112827301025390625e+00
4.710303039550781250e+02,-1.112824320793151855e+00
4.782417907714843750e+02,-1.112825036048889160e+00
4.851882934570312500e+02,-1.112829089164733887e+00
4.918584594726562500e+02,-1.112836003303527832e+00
4.982409667968750000e+02,-1.112845540046691895e+00
5.043244628906250000e+02,-1.112857341766357422e+00
5.100976257324218750e+02,-1.112870931625366211e+00
5.155491333007812500e+02,-1.112886071205139160e+00
5.206676025390625000e+02,-1.112902402877807617e+00
5.254417114257812500e+02,-1.112919449806213379e+00
5.298601684570312500e+02,-1.112936854362487793e+00
5.339116210937500000e+02,-1.112954378128051758e+00
5.375847778320312500e+02,-1.112971544265747070e+00
5.408681640625000000e+02,-1.112988114356994629e+00
5.437506103515625000e+02,-1.113003611564636230e+00
5.462206420898437500e+02,-1.113017678260803223e+00
5.482670288085937500e+02,-1.113030076026916504e+00
5.498783569335937500e+02,-1.113040328025817871e+00
5.510433959960937500e+02,-1.113048076629638672e+00
5.517506713867187500e+02,-1.113052964210510254e+00
5.519889526367187500e+02,-1.113054633140563965e+00
