time [ms],current density [pA/pF]
-1.129481270909309387e-01,-1.383741758763790131e-02
6.781712055206298828e+00,-1.383741758763790131e-02
1.367637252807617188e+01,-1.383741758763790131e-02
2.057103347778320312e+01,-1.383741758763790131e-02
2.746569252014160156e+01,-1.383741758763790131e-02
3.436035537719726562e+01,-1.383741758763790131e-02
4.125501251220703125e+01,-1.383741758763790131e-02
4.814967346191406250e+01,-1.383741758763790131e-02
5.110291290283203125e+01,-3.394890576601028442e-02
5.129357528686523438e+01,-6.815671920776367188e-02
5.148423767089843750e+01,-1.023645326495170593e-01
5.167490386962890625e+01,-1.365723460912704468e-01
5.186556625366210938e+01,-1.707801520824432373e-01
5.205622863769531250e+01,-2.049879729747772217e-01
5.224689102172851562e+01,-2.391957789659500122e-01
5.243755340576171875e+01,-2.734035849571228027e-01
5.262821578979492188e+01,-3.076114058494567871e-01
5.281887817382812500e+01,-3.418192267417907715e-01
5.300954055786132812e+01,-3.760270178318023682e-01
5.320020294189453125e+01,-4.102348387241363525e-01
5.339086532592773438e+01,-4.444426596164703369e-01
5.358152770996093750e+01,-4.786504805088043213e-01
5.377219009399414062e+01,-5.128582715988159180e-01
5.398351287841796875e+01,-5.490404367446899414e-01
5.420573425292968750e+01,-5.953624844551086426e-01
5.462045669555664062e+01,-6.371742486953735352e-01
5.573889923095703125e+01,-6.695473790168762207e-01
5.807228851318359375e+01,-6.875536441802978516e-01
6.326846694946289062e+01,-6.884788274765014648e-01
7.031368255615234375e+01,-6.861251592636108398e-01
7.754084777832031250e+01,-6.837415099143981934e-01
8.494184112548828125e+01,-6.813296675682067871e-01
9.250856018066406250e+01,-6.788914799690246582e-01
1.002328948974609375e+02,-6.764287352561950684e-01
1.081067276000976562e+02,-6.739432215690612793e-01
1.161219482421875000e+02,-6.714368462562561035e-01
1.242704467773437500e+02,-6.689114570617675781e-01
1.325441131591796875e+02,-6.663687229156494141e-01
1.409348297119140625e+02,-6.638106703758239746e-01
1.494344787597656250e+02,-6.612389683723449707e-01
1.580349578857421875e+02,-6.586554646492004395e-01
1.667281646728515625e+02,-6.560620665550231934e-01
1.755059814453125000e+02,-6.534605026245117188e-01
1.843602752685546875e+02,-6.508526802062988281e-01
1.932829589843750000e+02,-6.482403874397277832e-01
2.022659149169921875e+02,-6.456254124641418457e-01
2.113010253906250000e+02,-6.430096626281738281e-01
2.203801879882812500e+02,-6.403948664665222168e-01
2.294952850341796875e+02,-6.377829313278198242e-01
2.386382141113281250e+02,-6.351755857467651367e-01
2.478008422851562500e+02,-6.325747966766357422e-01
2.569750671386718750e+02,-6.299822330474853516e-01
2.661528015136718750e+02,-6.273998022079467773e-01
2.753258972167968750e+02,-6.248293519020080566e-01
2.844862365722656250e+02,-6.222726702690124512e-01
2.936257629394531250e+02,-6.197315454483032227e-01
3.027362976074218750e+02,-6.172078847885131836e-01
3.118097839355468750e+02,-6.147034764289855957e-01
3.208381042480468750e+02,-6.122201085090637207e-01
3.298131103515625000e+02,-6.097596287727355957e-01
3.387267150878906250e+02,-6.073238849639892578e-01
3.475707702636718750e+02,-6.049147248268127441e-01
3.563372497558593750e+02,-6.025338768959045410e-01
3.650179443359375000e+02,-6.001832485198974609e-01
3.736047973632812500e+02,-5.978646278381347656e-01
3.820896911621093750e+02,-5.955798625946044922e-01
3.904645080566406250e+02,-5.933307409286499023e-01
3.987211608886718750e+02,-5.911191105842590332e-01
4.068514709472656250e+02,-5.889468193054199219e-01
4.148473815917968750e+02,-5.868156552314758301e-01
4.227007751464843750e+02,-5.847274661064147949e-01
4.304035339355468750e+02,-5.826840400695800781e-01
4.379475402832031250e+02,-5.806872248649597168e-01
4.453247070312500000e+02,-5.787388682365417480e-01
4.525268859863281250e+02,-5.768407583236694336e-01
4.595459899902343750e+02,-5.749948024749755859e-01
4.663739013671875000e+02,-5.732026696205139160e-01
4.730024719238281250e+02,-5.714663267135620117e-01
4.794236755371093750e+02,-5.697875022888183594e-01
4.856293029785156250e+02,-5.681681036949157715e-01
4.916113281250000000e+02,-5.666099190711975098e-01
4.973615722656250000e+02,-5.651147365570068359e-01
5.028719787597656250e+02,-5.636844038963317871e-01
5.081343688964843750e+02,-5.623208284378051758e-01
5.131406860351562500e+02,-5.610256791114807129e-01
5.178828125000000000e+02,-5.598009228706359863e-01
5.223526611328125000e+02,-5.586482882499694824e-01
5.265420532226562500e+02,-5.575696229934692383e-01
5.304428710937500000e+02,-5.565667748451232910e-01
5.340471191406250000e+02,-5.556415915489196777e-01
5.373465576171875000e+02,-5.547958612442016602e-01
5.403331298828125000e+02,-5.540313720703125000e-01
5.429987182617187500e+02,-5.533500313758850098e-01
5.453352050781250000e+02,-5.527535676956176758e-01
5.473345336914062500e+02,-5.522438883781433105e-01
5.489884643554687500e+02,-5.518227815628051758e-01
5.502890014648437500e+02,-5.514920949935913086e-01
5.512280273437500000e+02,-5.512536168098449707e-01
5.517973632812500000e+02,-5.511091947555541992e-01
5.519889526367187500e+02,-5.510606169700622559e-01
