time [ms],current [pA]
4.346519851684570312e+01,-1.564231872558593750e+01
5.375066375732421875e+01,-1.917692565917968750e+01
6.422545623779296875e+01,-2.246655273437500000e+01
7.495052337646484375e+01,-2.553337097167968750e+01
8.598683166503906250e+01,-2.839955520629882812e+01
9.739533996582031250e+01,-3.108726882934570312e+01
1.092370071411132812e+02,-3.361868286132812500e+01
1.215727920532226562e+02,-3.601596450805664062e+01
1.344636383056640625e+02,-3.830128097534179688e+01
1.479705352783203125e+02,-4.049679946899414062e+01
1.621544189453125000e+02,-4.262469100952148438e+01
1.770762481689453125e+02,-4.470712661743164062e+01
1.927969818115234375e+02,-4.676626586914062500e+01
2.093775939941406250e+02,-4.882428741455078125e+01
2.268790283203125000e+02,-5.090335083007812500e+01
2.453622589111328125e+02,-5.302563476562500000e+01
2.648882141113281250e+02,-5.521329498291015625e+01
2.855178833007812500e+02,-5.748851013183593750e+01
3.165352478027343750e+02,-6.067044067382812500e+01
3.531393432617187500e+02,-6.380760955810546875e+01
3.933990783691406250e+02,-6.667716979980468750e+01
4.373888244628906250e+02,-6.928847503662109375e+01
4.851829223632812500e+02,-7.165088653564453125e+01
5.368558349609375000e+02,-7.377375793457031250e+01
5.924818725585937500e+02,-7.566644287109375000e+01
6.521354980468750000e+02,-7.733830261230468750e+01
7.158910522460937500e+02,-7.879869842529296875e+01
7.838229980468750000e+02,-8.005698394775390625e+01
8.560056152343750000e+02,-8.112252044677734375e+01
9.325133666992187500e+02,-8.200465393066406250e+01
1.013420654296875000e+03,-8.271274566650390625e+01
1.098801879882812500e+03,-8.325615692138671875e+01
1.188731323242187500e+03,-8.364424896240234375e+01
1.283283447265625000e+03,-8.388636779785156250e+01
1.382532592773437500e+03,-8.399187469482421875e+01
1.424824951171875000e+03,-8.400070953369140625e+01
1.466942993164062500e+03,-8.400785064697265625e+01
1.525419189453125000e+03,-8.401824951171875000e+01
1.598814941406250000e+03,-8.403162384033203125e+01
1.685692138671875000e+03,-8.404769897460937500e+01
1.784612426757812500e+03,-8.406618499755859375e+01
1.894137329101562500e+03,-8.408679962158203125e+01
2.012828491210937500e+03,-8.410926055908203125e+01
2.139247802734375000e+03,-8.413327789306640625e+01
2.271956787109375000e+03,-8.415858459472656250e+01
2.409517089843750000e+03,-8.418489074707031250e+01
2.550490234375000000e+03,-8.421190643310546875e+01
2.693438232421875000e+03,-8.423935699462890625e+01
2.836922607421875000e+03,-8.426695251464843750e+01
2.979504882812500000e+03,-8.429441833496093750e+01
3.119746826171875000e+03,-8.432146453857421875e+01
3.256209960937500000e+03,-8.434781646728515625e+01
3.387456298828125000e+03,-8.437318420410156250e+01
3.512047119140625000e+03,-8.439728546142578125e+01
3.628544433593750000e+03,-8.441984558105468750e+01
3.735509521484375000e+03,-8.444056701660156250e+01
3.831504394531250000e+03,-8.445918273925781250e+01
3.915090332031250000e+03,-8.447539520263671875e+01
3.984829345703125000e+03,-8.448893737792968750e+01
4.039283203125000000e+03,-8.449951171875000000e+01
4.077012939453125000e+03,-8.450684356689453125e+01
4.096581054687500000e+03,-8.451064300537109375e+01
4.099104492187500000e+03,-8.326950073242187500e+01
4.105875000000000000e+03,-1.862890625000000000e+01
4.172908203125000000e+03,-1.758830642700195312e+01
4.244360839843750000e+03,-1.664295196533203125e+01
4.326798828125000000e+03,-1.564202117919921875e+01
4.418024414062500000e+03,-1.461264038085937500e+01
4.515839355468750000e+03,-1.358191680908203125e+01
4.618045410156250000e+03,-1.257698822021484375e+01
4.722444335937500000e+03,-1.162496185302734375e+01
4.826838378906250000e+03,-1.075297546386718750e+01
4.929029296875000000e+03,-9.988128662109375000e+00
5.026819335937500000e+03,-9.357559204101562500e+00
5.118010253906250000e+03,-8.888381958007812500e+00
