time[ms],current [pA]
-1.162332763671875000e+02,9.187949895858764648e-01
-1.161412734985351562e+02,9.182949662208557129e-01
-1.160493621826171875e+02,9.177927374839782715e-01
-1.159575500488281250e+02,9.172882437705993652e-01
-1.158658218383789062e+02,9.167814850807189941e-01
-1.157741851806640625e+02,9.162724018096923828e-01
-1.156826400756835938e+02,9.157609343528747559e-01
-1.155911788940429688e+02,9.152472019195556641e-01
-1.154998092651367188e+02,9.147310256958007812e-01
-1.154085311889648438e+02,9.142124056816101074e-01
-1.153173294067382812e+02,9.136913418769836426e-01
-1.152262191772460938e+02,9.131677746772766113e-01
-1.151351928710937500e+02,9.126417040824890137e-01
-1.150442504882812500e+02,9.121130704879760742e-01
-1.149533920288085938e+02,9.115818738937377930e-01
-1.148626098632812500e+02,9.110480546951293945e-01
-1.147719116210937500e+02,9.105116128921508789e-01
-1.146812896728515625e+02,9.099724888801574707e-01
-1.145907516479492188e+02,9.094306826591491699e-01
-1.145002899169921875e+02,9.088861346244812012e-01
-1.144099121093750000e+02,9.083387851715087891e-01
-1.143196029663085938e+02,9.077886939048767090e-01
-1.142293701171875000e+02,9.072358012199401855e-01
-1.141392135620117188e+02,9.066799879074096680e-01
-1.140491256713867188e+02,9.061213731765747070e-01
-1.139591140747070312e+02,9.055597782135009766e-01
-1.138691787719726562e+02,9.049952626228332520e-01
-1.137793045043945312e+02,9.044278264045715332e-01
-1.136895065307617188e+02,9.038573503494262695e-01
-1.135997772216796875e+02,9.032838344573974609e-01
-1.135101165771484375e+02,9.027072191238403320e-01
-1.134205245971679688e+02,9.021275639533996582e-01
-1.133310012817382812e+02,9.015448093414306641e-01
-1.132415390014648438e+02,9.009588360786437988e-01
-1.131521453857421875e+02,9.003697037696838379e-01
-1.130628128051757812e+02,8.997773528099060059e-01
-1.129735412597656250e+02,8.991817831993103027e-01
-1.128843383789062500e+02,8.985829353332519531e-01
-1.127951965332031250e+02,8.979807496070861816e-01
-1.127061080932617188e+02,8.973752856254577637e-01
-1.126170806884765625e+02,8.967664241790771484e-01
-1.125281143188476562e+02,8.961541652679443359e-01
-1.124392089843750000e+02,8.955384492874145508e-01
-1.123503570556640625e+02,8.949193358421325684e-01
-1.122615585327148438e+02,8.942967057228088379e-01
-1.121728210449218750e+02,8.936705589294433594e-01
-1.120841369628906250e+02,8.930408954620361328e-01
-1.119954986572265625e+02,8.924075961112976074e-01
-1.119069213867187500e+02,8.917707800865173340e-01
-1.118183898925781250e+02,8.911302685737609863e-01
-1.117299118041992188e+02,8.904860615730285645e-01
-1.116414794921875000e+02,8.898382186889648438e-01
-1.115531005859375000e+02,8.891866207122802734e-01
-1.114479217529296875e+02,8.884065151214599609e-01
-1.113366851806640625e+02,8.875778317451477051e-01
-1.112259368896484375e+02,8.867490291595458984e-01
-1.111156692504882812e+02,8.859201073646545410e-01
-1.110058898925781250e+02,8.850910663604736328e-01
-1.108965911865234375e+02,8.842619061470031738e-01
-1.107877655029296875e+02,8.834325671195983887e-01
-1.106794204711914062e+02,8.826031088829040527e-01
-1.105715484619140625e+02,8.817734718322753906e-01
-1.104641418457031250e+02,8.809436559677124023e-01
-1.103571929931640625e+02,8.801136016845703125e-01
-1.102507171630859375e+02,8.792834281921386719e-01
-1.101446990966796875e+02,8.784529566764831543e-01
-1.100391387939453125e+02,8.776223063468933105e-01
-1.099340362548828125e+02,8.767914175987243652e-01
-1.098293762207031250e+02,8.759602308273315430e-01
-1.097251739501953125e+02,8.751288056373596191e-01
-1.096214141845703125e+02,8.742971420288085938e-01
-1.095180892944335938e+02,8.734651803970336914e-01
-1.094152145385742188e+02,8.726329207420349121e-01
-1.093127746582031250e+02,8.718003034591674805e-01
-1.092107696533203125e+02,8.709673881530761719e-01
-1.091091918945312500e+02,8.701341748237609863e-01
-1.090080413818359375e+02,8.693006038665771484e-01
-1.089073257446289062e+02,8.684666752815246582e-01
-1.088070220947265625e+02,8.676323294639587402e-01
-1.087071456909179688e+02,8.667976856231689453e-01
-1.086076812744140625e+02,8.659626245498657227e-01
-1.085086364746093750e+02,8.651271462440490723e-01
-1.084100036621093750e+02,8.642912507057189941e-01
-1.083117752075195312e+02,8.634549379348754883e-01
-1.082139511108398438e+02,8.626181483268737793e-01
-1.081165313720703125e+02,8.617809414863586426e-01
-1.080195083618164062e+02,8.609433174133300781e-01
-1.079228897094726562e+02,8.601051568984985352e-01
-1.078266601562500000e+02,8.592665195465087891e-01
-1.077308197021484375e+02,8.584274053573608398e-01
-1.076353683471679688e+02,8.575878143310546875e-01
-1.075403060913085938e+02,8.567476272583007812e-01
