time [ms],current density [pA/pF]
0.000000000000000000e+00,-2.970051765441894531e-02
6.070182800292968750e+00,-2.970051765441894531e-02
1.214036560058593750e+01,-2.970051765441894531e-02
1.821054840087890625e+01,-2.970051765441894531e-02
2.428073120117187500e+01,-2.970051765441894531e-02
3.035091400146484375e+01,-2.970051765441894531e-02
3.642109680175781250e+01,-2.970051765441894531e-02
4.249127960205078125e+01,-2.970051765441894531e-02
4.856146240234375000e+01,-2.970051765441894531e-02
5.095325469970703125e+01,-4.501718282699584961e-02
5.119573211669921875e+01,-6.928354501724243164e-02
5.143820953369140625e+01,-9.354996681213378906e-02
5.168068695068359375e+01,-1.178163290023803711e-01
5.192316436767578125e+01,-1.420827209949493408e-01
5.216564178466796875e+01,-1.663491129875183105e-01
5.240811920166015625e+01,-1.906154751777648926e-01
5.287113571166992188e+01,-2.220675945281982422e-01
5.423062896728515625e+01,-2.425481081008911133e-01
5.824301528930664062e+01,-2.474893927574157715e-01
6.487917327880859375e+01,-2.442375123500823975e-01
7.102210998535156250e+01,-2.407960593700408936e-01
7.730965423583984375e+01,-2.373830080032348633e-01
8.373615264892578125e+01,-2.339987158775329590e-01
9.029594421386718750e+01,-2.306436002254486084e-01
9.698339080810546875e+01,-2.273179888725280762e-01
1.037928314208984375e+02,-2.240222990512847900e-01
1.107186126708984375e+02,-2.207569181919097900e-01
1.177550811767578125e+02,-2.175221741199493408e-01
1.248965835571289062e+02,-2.143185138702392578e-01
1.321374664306640625e+02,-2.111462652683258057e-01
1.394720916748046875e+02,-2.080058157444000244e-01
1.468947753906250000e+02,-2.048975825309753418e-01
1.543999023437500000e+02,-2.018218934535980225e-01
1.619817810058593750e+02,-1.987791657447814941e-01
1.696347961425781250e+02,-1.957697570323944092e-01
1.773532562255859375e+02,-1.927940547466278076e-01
1.851315460205078125e+02,-1.898524463176727295e-01
1.929639892578125000e+02,-1.869452893733978271e-01
2.008449401855468750e+02,-1.840729713439941406e-01
2.087687377929687500e+02,-1.812359094619750977e-01
2.167297363281250000e+02,-1.784344315528869629e-01
2.247222900390625000e+02,-1.756689548492431641e-01
2.327407226562500000e+02,-1.729398071765899658e-01
2.407794036865234375e+02,-1.702474355697631836e-01
2.488326721191406250e+02,-1.675921678543090820e-01
2.568948974609375000e+02,-1.649744212627410889e-01
2.649603881835937500e+02,-1.623945236206054688e-01
2.730234985351562500e+02,-1.598529219627380371e-01
2.810785827636718750e+02,-1.573499441146850586e-01
2.891199951171875000e+02,-1.548859775066375732e-01
2.971420898437500000e+02,-1.524614095687866211e-01
3.051391906738281250e+02,-1.500766277313232422e-01
3.131056518554687500e+02,-1.477319896221160889e-01
3.210358581542968750e+02,-1.454279124736785889e-01
3.289240722656250000e+02,-1.431647539138793945e-01
3.367647399902343750e+02,-1.409428715705871582e-01
3.445521240234375000e+02,-1.387626826763153076e-01
3.522806091308593750e+02,-1.366245448589324951e-01
3.599445800781250000e+02,-1.345288455486297607e-01
3.675382995605468750e+02,-1.324759423732757568e-01
3.750561828613281250e+02,-1.304662525653839111e-01
3.824925537109375000e+02,-1.285001337528228760e-01
3.898417358398437500e+02,-1.265779435634613037e-01
3.970981140136718750e+02,-1.247000992298126221e-01
4.042560424804687500e+02,-1.228669881820678711e-01
4.113098144531250000e+02,-1.210789382457733154e-01
4.182538452148437500e+02,-1.193363964557647705e-01
4.250823974609375000e+02,-1.176396608352661133e-01
4.317899169921875000e+02,-1.159891784191131592e-01
4.383706665039062500e+02,-1.143853068351745605e-01
4.448190307617187500e+02,-1.128284335136413574e-01
4.511293640136718750e+02,-1.113189160823822021e-01
4.572959899902343750e+02,-1.098571419715881348e-01
4.633132934570312500e+02,-1.084434986114501953e-01
4.691755676269531250e+02,-1.070783734321594238e-01
4.748771972656250000e+02,-1.057621240615844727e-01
4.804125366210937500e+02,-1.044951379299163818e-01
4.857758789062500000e+02,-1.032778024673461914e-01
4.909616394042968750e+02,-1.021105051040649414e-01
4.959641418457031250e+02,-1.009935736656188965e-01
5.007776794433593750e+02,-9.992748498916625977e-02
5.053966979980468750e+02,-9.891247749328613281e-02
5.098154602050781250e+02,-9.794908761978149414e-02
5.140283813476562500e+02,-9.703761339187622070e-02
5.180297241210937500e+02,-9.617841243743896484e-02
5.218139038085937500e+02,-9.537190198898315430e-02
5.253752441406250000e+02,-9.461843967437744141e-02
5.287080688476562500e+02,-9.391844272613525391e-02
5.318068237304687500e+02,-9.327226877212524414e-02
5.346657104492187500e+02,-9.268027544021606445e-02
5.372791748046875000e+02,-9.214282035827636719e-02
5.396415405273437500e+02,-9.166038036346435547e-02
5.417471313476562500e+02,-9.123325347900390625e-02
5.435903320312500000e+02,-9.086185693740844727e-02
5.451655273437500000e+02,-9.054654836654663086e-02
5.464669189453125000e+02,-9.028774499893188477e-02
5.474890136718750000e+02,-9.008580446243286133e-02
5.482260131835937500e+02,-8.994102478027343750e-02
5.486724243164062500e+02,-8.985394239425659180e-02
5.488224487304687500e+02,-8.982479572296142578e-02
