time [ms],current density [pA/pF]
0.000000000000000000e+00,-2.970051765441894531e-02
6.511296749114990234e+00,-2.970051765441894531e-02
1.302259349822998047e+01,-2.970051765441894531e-02
1.953388977050781250e+01,-2.970051765441894531e-02
2.604518699645996094e+01,-2.970051765441894531e-02
3.255648422241210938e+01,-2.970051765441894531e-02
3.906777954101562500e+01,-2.970051765441894531e-02
4.557907867431640625e+01,-2.970051765441894531e-02
5.084580993652343750e+01,-3.485900163650512695e-02
5.107597732543945312e+01,-6.089329719543457031e-02
5.130614471435546875e+01,-8.692765235900878906e-02
5.153630828857421875e+01,-1.129619479179382324e-01
5.176647567749023438e+01,-1.389962434768676758e-01
5.199664306640625000e+01,-1.650305390357971191e-01
5.222680664062500000e+01,-1.910648643970489502e-01
5.245697402954101562e+01,-2.170991599559783936e-01
5.268713760375976562e+01,-2.431334853172302246e-01
5.291730499267578125e+01,-2.691677808761596680e-01
5.314747238159179688e+01,-2.952021062374114990e-01
5.337763595581054688e+01,-3.212364017963409424e-01
5.360780334472656250e+01,-3.472706973552703857e-01
5.390214157104492188e+01,-3.769008517265319824e-01
5.438788223266601562e+01,-4.076704680919647217e-01
5.626019668579101562e+01,-4.290012717247009277e-01
6.105845642089843750e+01,-4.342066049575805664e-01
6.768696594238281250e+01,-4.329750537872314453e-01
7.447985076904296875e+01,-4.317082762718200684e-01
8.143021392822265625e+01,-4.304075837135314941e-01
8.853116607666015625e+01,-4.290744364261627197e-01
9.577580261230468750e+01,-4.277102351188659668e-01
1.031572418212890625e+02,-4.263163805007934570e-01
1.106685791015625000e+02,-4.248942732810974121e-01
1.183029327392578125e+02,-4.234454035758972168e-01
1.260533981323242188e+02,-4.219710528850555420e-01
1.339130859375000000e+02,-4.204727411270141602e-01
1.418751068115234375e+02,-4.189518094062805176e-01
1.499325561523437500e+02,-4.174096584320068359e-01
1.580785369873046875e+02,-4.158477783203125000e-01
1.663061828613281250e+02,-4.142675399780273438e-01
1.746085662841796875e+02,-4.126703143119812012e-01
1.829788208007812500e+02,-4.110575318336486816e-01
1.914100341796875000e+02,-4.094306528568267822e-01
1.998953094482421875e+02,-4.077910184860229492e-01
2.084277801513671875e+02,-4.061400890350341797e-01
2.170005187988281250e+02,-4.044792354106903076e-01
2.256066436767578125e+02,-4.028098881244659424e-01
2.342392730712890625e+02,-4.011334776878356934e-01
2.428915100097656250e+02,-3.994513750076293945e-01
2.515564422607421875e+02,-3.977649807929992676e-01
2.602272033691406250e+02,-3.960757851600646973e-01
2.688968811035156250e+02,-3.943850994110107422e-01
2.775585632324218750e+02,-3.926943838596343994e-01
2.862053833007812500e+02,-3.910050392150878906e-01
2.948304748535156250e+02,-3.893184959888458252e-01
3.034268798828125000e+02,-3.876361250877380371e-01
3.119877319335937500e+02,-3.859593868255615234e-01
3.205061645507812500e+02,-3.842896223068237305e-01
3.289752197265625000e+02,-3.826283216476440430e-01
3.373880920410156250e+02,-3.809768557548522949e-01
3.457377929687500000e+02,-3.793365955352783203e-01
3.540175170898437500e+02,-3.777090311050415039e-01
3.622203063964843750e+02,-3.760955035686492920e-01
3.703392944335937500e+02,-3.744974732398986816e-01
3.783675842285156250e+02,-3.729162812232971191e-01
3.862982788085937500e+02,-3.713534176349639893e-01
3.941244812011718750e+02,-3.698102533817291260e-01
4.018392944335937500e+02,-3.682882189750671387e-01
4.094358215332031250e+02,-3.667886853218078613e-01
4.169071960449218750e+02,-3.653130829334259033e-01
4.242465209960937500e+02,-3.638628125190734863e-01
4.314468688964843750e+02,-3.624393343925476074e-01
4.385013732910156250e+02,-3.610439896583557129e-01
4.454031372070312500e+02,-3.596782386302947998e-01
4.521452331542968750e+02,-3.583434522151947021e-01
4.587208251953125000e+02,-3.570410609245300293e-01
4.651229858398437500e+02,-3.557724952697753906e-01
4.713448181152343750e+02,-3.545391261577606201e-01
4.773794250488281250e+02,-3.533423840999603271e-01
4.832199401855468750e+02,-3.521836996078491211e-01
4.888594665527343750e+02,-3.510644137859344482e-01
4.942910766601562500e+02,-3.499860167503356934e-01
4.995078735351562500e+02,-3.489498496055603027e-01
5.045030212402343750e+02,-3.479573726654052734e-01
5.092695922851562500e+02,-3.470099866390228271e-01
5.138006591796875000e+02,-3.461090922355651855e-01
5.180893554687500000e+02,-3.452561199665069580e-01
5.221288452148437500e+02,-3.444524407386779785e-01
5.259121704101562500e+02,-3.436994850635528564e-01
5.294324340820312500e+02,-3.429986536502838135e-01
5.326827392578125000e+02,-3.423513770103454590e-01
5.356561889648437500e+02,-3.417590558528900146e-01
5.383459472656250000e+02,-3.412230908870697021e-01
5.407451171875000000e+02,-3.407449126243591309e-01
5.428466796875000000e+02,-3.403258919715881348e-01
5.446439208984375000e+02,-3.399674892425537109e-01
5.461298217773437500e+02,-3.396710753440856934e-01
5.472974853515625000e+02,-3.394380807876586914e-01
5.481400756835937500e+02,-3.392699360847473145e-01
5.486506958007812500e+02,-3.391679823398590088e-01
5.488224487304687500e+02,-3.391337096691131592e-01
