voltage [mV],current [pA]
-1.471892242431640625e+02,-5.343082427978515625e+01
-1.462741851806640625e+02,-5.321562576293945312e+01
-1.452776947021484375e+02,-5.298246002197265625e+01
-1.442011718750000000e+02,-5.273174667358398438e+01
-1.430460510253906250e+02,-5.246392059326171875e+01
-1.418137664794921875e+02,-5.217940902709960938e+01
-1.405057678222656250e+02,-5.187863922119140625e+01
-1.391234741210937500e+02,-5.156203460693359375e+01
-1.376683044433593750e+02,-5.123003387451171875e+01
-1.361417236328125000e+02,-5.088305282592773438e+01
-1.345451660156250000e+02,-5.052153015136718750e+01
-1.328800354003906250e+02,-5.014588546752929688e+01
-1.311477813720703125e+02,-4.975654983520507812e+01
-1.293498382568359375e+02,-4.935395431518554688e+01
-1.274876403808593750e+02,-4.893852233886718750e+01
-1.255626220703125000e+02,-4.851068115234375000e+01
-1.235762176513671875e+02,-4.807086563110351562e+01
-1.215298538208007812e+02,-4.761949539184570312e+01
-1.194249725341796875e+02,-4.715700531005859375e+01
-1.172630081176757812e+02,-4.668381881713867188e+01
-1.150453872680664062e+02,-4.620036315917968750e+01
-1.127735519409179688e+02,-4.570707321166992188e+01
-1.104489288330078125e+02,-4.520436859130859375e+01
-1.080729522705078125e+02,-4.469268035888671875e+01
-1.056470642089843750e+02,-4.417243957519531250e+01
-1.031726913452148438e+02,-4.364406967163085938e+01
-1.006512756347656250e+02,-4.310800170898437500e+01
-9.808423614501953125e+01,-4.256465911865234375e+01
-9.547301483154296875e+01,-4.201448059082031250e+01
-9.281904602050781250e+01,-4.145787811279296875e+01
-9.012376403808593750e+01,-4.089529418945312500e+01
-8.738861083984375000e+01,-4.032714843750000000e+01
-8.461500549316406250e+01,-3.975386810302734375e+01
-8.180438232421875000e+01,-3.917588806152343750e+01
-7.895819091796875000e+01,-3.859363555908203125e+01
-7.607784271240234375e+01,-3.800753021240234375e+01
-7.316479492187500000e+01,-3.741800689697265625e+01
-7.022045898437500000e+01,-3.682549285888671875e+01
-6.724629211425781250e+01,-3.623041152954101562e+01
-6.424371337890625000e+01,-3.563319396972656250e+01
-6.121415328979492188e+01,-3.503427505493164062e+01
-5.815905761718750000e+01,-3.443407058715820312e+01
-5.507984924316406250e+01,-3.383301544189453125e+01
-5.197797393798828125e+01,-3.323153686523437500e+01
-4.885485076904296875e+01,-3.263006591796875000e+01
-4.571192932128906250e+01,-3.202902221679687500e+01
-4.255062866210937500e+01,-3.142883872985839844e+01
-3.937239837646484375e+01,-3.082994461059570312e+01
-3.617865753173828125e+01,-3.023276519775390625e+01
-3.297084808349609375e+01,-2.963772964477539062e+01
-2.975039672851562500e+01,-2.904526710510253906e+01
-2.651875305175781250e+01,-2.845580291748046875e+01
-2.327732849121093750e+01,-2.786976623535156250e+01
-2.002758026123046875e+01,-2.728758621215820312e+01
-1.657671356201171875e+01,-2.667553329467773438e+01
-1.276000976562500000e+01,-2.600780487060546875e+01
-8.991554260253906250e+00,-2.535855865478515625e+01
-5.270492553710937500e+00,-2.472739410400390625e+01
-1.595970153808593750e+00,-2.411388397216796875e+01
2.032859802246093750e+00,-2.351762390136718750e+01
5.616851806640625000e+00,-2.293819808959960938e+01
9.156860351562500000e+00,-2.237518692016601562e+01
1.265374755859375000e+01,-2.182818222045898438e+01
1.610833740234375000e+01,-2.129676818847656250e+01
1.952151489257812500e+01,-2.078052902221679688e+01
2.289410400390625000e+01,-2.027905273437500000e+01
2.622697448730468750e+01,-1.979192733764648438e+01
2.952096557617187500e+01,-1.931873321533203125e+01
3.277694702148437500e+01,-1.885905838012695312e+01
3.599575805664062500e+01,-1.841249084472656250e+01
3.917823791503906250e+01,-1.797861480712890625e+01
4.232527160644531250e+01,-1.755701828002929688e+01
4.543768310546875000e+01,-1.714728546142578125e+01
4.851634216308593750e+01,-1.674900054931640625e+01
5.156207275390625000e+01,-1.636175155639648438e+01
5.457577514648437500e+01,-1.598512649536132812e+01
5.755825805664062500e+01,-1.561870574951171875e+01
6.051039123535156250e+01,-1.526208114624023438e+01
6.343301391601562500e+01,-1.491483306884765625e+01
6.632701110839843750e+01,-1.457655334472656250e+01
6.919319152832031250e+01,-1.424682235717773438e+01
7.203244018554687500e+01,-1.392523193359375000e+01
7.484559631347656250e+01,-1.361136245727539062e+01
7.763351440429687500e+01,-1.330480194091796875e+01
8.039703369140625000e+01,-1.300513458251953125e+01
8.313702392578125000e+01,-1.271195220947265625e+01
8.585432434082031250e+01,-1.242483520507812500e+01
8.854980468750000000e+01,-1.214336776733398438e+01
9.122430419921875000e+01,-1.186714172363281250e+01
9.387867736816406250e+01,-1.159574127197265625e+01
9.651376342773437500e+01,-1.132875061035156250e+01
9.913043212890625000e+01,-1.106575775146484375e+01
1.017295227050781250e+02,-1.080634689331054688e+01
1.043119049072265625e+02,-1.055010223388671875e+01
1.068784179687500000e+02,-1.029661560058593750e+01
1.094299163818359375e+02,-1.004546737670898438e+01
1.119672393798828125e+02,-9.796245574951171875e+00
1.144912719726562500e+02,-9.548534393310546875e+00
1.170028228759765625e+02,-9.301925659179687500e+00
1.195027770996093750e+02,-9.055995941162109375e+00
