time [ms],current [pA]
0.000000000000000000e+00,-5.469695091247558594e+00
4.930553436279296875e+00,-5.469695091247558594e+00
9.861106872558593750e+00,-5.469695091247558594e+00
1.479166126251220703e+01,-5.469695091247558594e+00
1.972221374511718750e+01,-5.469695091247558594e+00
2.465276908874511719e+01,-5.469695091247558594e+00
2.958332252502441406e+01,-5.469695091247558594e+00
3.451387405395507812e+01,-5.469695091247558594e+00
3.471252059936523438e+01,1.370845890045166016e+01
3.475473785400390625e+01,3.352061080932617188e+01
3.479695129394531250e+01,5.333276748657226562e+01
3.483916854858398438e+01,7.314492034912109375e+01
3.488138580322265625e+01,9.295707702636718750e+01
3.492359924316406250e+01,1.127692260742187500e+02
3.496581649780273438e+01,1.325813903808593750e+02
3.500803375244140625e+01,1.523935394287109375e+02
3.505024719238281250e+01,1.722056884765625000e+02
3.509246444702148438e+01,1.920178375244140625e+02
3.513468170166015625e+01,2.118300018310546875e+02
3.517689514160156250e+01,2.316421508789062500e+02
3.521911239624023438e+01,2.514542999267578125e+02
3.526132965087890625e+01,2.712664489746093750e+02
3.530354309082031250e+01,2.910786132812500000e+02
3.534576034545898438e+01,3.108907775878906250e+02
3.538797760009765625e+01,3.307029113769531250e+02
3.543019104003906250e+01,3.505150756835937500e+02
3.547240829467773438e+01,3.703272399902343750e+02
3.551462554931640625e+01,3.901393737792968750e+02
3.555683898925781250e+01,4.099515380859375000e+02
3.559905624389648438e+01,4.297637023925781250e+02
3.564127349853515625e+01,4.495758361816406250e+02
3.568348693847656250e+01,4.693880004882812500e+02
3.572570419311523438e+01,4.892001647949218750e+02
3.576792144775390625e+01,5.090122985839843750e+02
3.581013488769531250e+01,5.288244628906250000e+02
3.585235214233398438e+01,5.486365966796875000e+02
3.589456939697265625e+01,5.684487915039062500e+02
3.593678283691406250e+01,5.882609252929687500e+02
3.597900009155273438e+01,6.080730590820312500e+02
3.661873245239257812e+01,6.326426391601562500e+02
3.819528579711914062e+01,6.209529418945312500e+02
3.908622360229492188e+01,5.982413330078125000e+02
4.002616882324218750e+01,5.719790039062500000e+02
4.103055572509765625e+01,5.466572875976562500e+02
4.210349655151367188e+01,5.222555541992187500e+02
4.324910354614257812e+01,4.987531127929687500e+02
4.447148895263671875e+01,4.761294250488281250e+02
4.577476501464843750e+01,4.543637695312500000e+02
4.716304016113281250e+01,4.334355468750000000e+02
4.864042663574218750e+01,4.133241577148437500e+02
5.021103668212890625e+01,3.940089111328125000e+02
5.187898635864257812e+01,3.754692382812500000e+02
5.364838027954101562e+01,3.576844177246093750e+02
5.552333831787109375e+01,3.406339111328125000e+02
5.750796508789062500e+01,3.242969970703125000e+02
5.960637664794921875e+01,3.086531066894531250e+02
6.182268142700195312e+01,2.936815795898437500e+02
6.416099548339843750e+01,2.793617858886718750e+02
6.662541961669921875e+01,2.656730957031250000e+02
6.922008514404296875e+01,2.525948791503906250e+02
7.194908905029296875e+01,2.401064910888671875e+02
7.481654357910156250e+01,2.281873016357421875e+02
7.782656097412109375e+01,2.168166656494140625e+02
8.098326110839843750e+01,2.059739685058593750e+02
8.429074859619140625e+01,1.956385803222656250e+02
8.778182220458984375e+01,1.857070312500000000e+02
9.153479766845703125e+01,1.757622070312500000e+02
9.536051940917968750e+01,1.662067413330078125e+02
9.925764465332031250e+01,1.570329284667968750e+02
1.032248535156250000e+02,1.482330932617187500e+02
1.072608032226562500e+02,1.397995300292968750e+02
1.113641662597656250e+02,1.317245330810546875e+02
1.155336151123046875e+02,1.240004272460937500e+02
1.197677993774414062e+02,1.166195220947265625e+02
1.240654067993164062e+02,1.095741119384765625e+02
1.284250946044921875e+02,1.028565063476562500e+02
1.328455352783203125e+02,9.645901489257812500e+01
1.373253784179687500e+02,9.037393951416015625e+01
1.418633117675781250e+02,8.459359741210937500e+01
1.464580078125000000e+02,7.911028289794921875e+01
1.511081085205078125e+02,7.391631317138671875e+01
1.558123016357421875e+02,6.900399017333984375e+01
1.605692443847656250e+02,6.436561584472656250e+01
1.653776092529296875e+02,5.999349975585937500e+01
1.702360687255859375e+02,5.587995147705078125e+01
1.751432800292968750e+02,5.201727294921875000e+01
1.800979003906250000e+02,4.839777755737304688e+01
1.850986175537109375e+02,4.501376724243164062e+01
1.901441040039062500e+02,4.185754776000976562e+01
1.952330017089843750e+02,3.892143249511718750e+01
2.003639984130859375e+02,3.619771957397460938e+01
2.055357513427734375e+02,3.367871856689453125e+01
2.107469329833984375e+02,3.135673522949218750e+01
2.159962005615234375e+02,2.922408103942871094e+01
2.212822265625000000e+02,2.727305793762207031e+01
2.266036987304687500e+02,2.549597358703613281e+01
2.319592590332031250e+02,2.388513374328613281e+01
2.373475799560546875e+02,2.243284797668457031e+01
2.427673339843750000e+02,2.113142013549804688e+01
2.482171783447265625e+02,1.997315788269042969e+01
